SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,20016 Depot Rd,Mc Kenney,VA,23872,189900,3,1.0,,1104,115869,1972,2,172,,Active,,,https://www.redfin.com/VA/McKenney/20016-Depot-Rd-23872/home/101481613,CVRMLS,2135805,N,Y,36.9962151,-77.7232329
MLS Listing,,Vacant Land,23450 Cutbank Rd,Mc Kenney,VA,23872,85395,,,,,442134,,18,,,Active,,,https://www.redfin.com/VA/McKenney/23450-Cutbank-Rd-23872/home/101482889,CVRMLS,2134750,N,Y,36.9503169,-77.6903809
MLS Listing,,Single Family Residential,21417 Westover,Mc Kenney,VA,23872,278000,3,2.0,,1596,66646,2021,34,174,,Active,,,https://www.redfin.com/VA/McKenney/21417-Westover-Dr-23872/home/175633349,CVRMLS,2133223,N,Y,36.9762068,-77.7249325
MLS Listing,,Single Family Residential,21401 Westover,Mc Kenney,VA,23872,273000,3,2.0,,1710,65340,2021,34,160,,Active,,,https://www.redfin.com/VA/McKenney/21401-Westover-Dr-23872/home/175633350,CVRMLS,2133197,N,Y,36.9760229,-77.7249689
MLS Listing,,Single Family Residential,16541 Cantree Rd,Mc Kenney,VA,23872,265000,3,2.5,,2195,130680,1970,53,121,,Active,,,https://www.redfin.com/VA/McKenney/16541-Cantree-Rd-23872/home/59864849,CVRMLS,2131464,N,Y,37.0444741,-77.7842072
MLS Listing,,Vacant Land,10233 Doyle Blvd,Mc Kenney,VA,23872,139900,,,,,14810,,109,,,Active,,,https://www.redfin.com/VA/McKenney/10233-Doyle-Blvd-23872/home/101476350,CVRMLS,2125597,N,Y,36.9907544,-77.7254574
MLS Listing,,Vacant Land,0 Brills Rd,Mc Kenney,VA,23872,30000,,,,,217800,,268,,,Active,,,https://www.redfin.com/VA/McKenney/8321-Brills-Rd-23872/home/177311812,CVRMLS,2106722,N,Y,37.0617004,-77.7615532
MLS Listing,,Vacant Land,7501 Brills,Mc Kenney,VA,23872,65000,,,,,435600,,268,,,Active,,,https://www.redfin.com/VA/McKenney/7501-Brills-Rd-23872/home/174682873,CVRMLS,2106708,N,Y,37.0704304,-77.7741763
MLS Listing,,Vacant Land,TBD 21 Keeler's Mill Rd,Dinwiddie,VA,23872,110000,,,,,946123,,7305,,,Active,,,https://www.redfin.com/VA/Dinwiddie/TBD-21-Keeler-s-Mill-RD-23872/home/176404236,CVRMLS,2128689,N,Y,36.9783664,-77.7223162
PAST SALE,June-21-2021,Single Family Residential,20807 Westover Dr,Mc Kenney,VA,23872,190000,3,1.0,,1296,,1962,167,147,,Sold,,,https://www.redfin.com/VA/McKenney/20807-Westover-Dr-23872/home/101477136,CVRMLS,2111865,N,Y,36.9858275,-77.7235012
PAST SALE,,Single Family Residential,10928 Marguerita D Ragsdale St,McKenney,VA,23872,115000,3,1.0,,1051,5523,1947,,109,,,,,https://www.redfin.com/VA/McKenney/10928-Marguerita-D-Ragsdale-St-23872/home/101473673,,,N,Y,36.981724,-77.713825
PAST SALE,June-29-2021,Single Family Residential,12308 Mckenney Hwy,Mc Kenney,VA,23872,165000,3,2.0,,1960,153766,2018,159,84,,Sold,,,https://www.redfin.com/VA/McKenney/12308-McKenney-Hwy-23872/home/101476927,CVRMLS,2034335,N,Y,36.959761,-77.687655
PAST SALE,October-12-2021,Vacant Land,47.5ac Shippings Rd,Mc Kenney,VA,23872,95000,,,MCKENNY,,2047320,,54,,,Sold,,,https://www.redfin.com/VA/McKenney/47-5ac-Shippings-Rd-23872/home/176156341,REINMLS,10396948,N,Y,36.930477,-77.656888
PAST SALE,July-7-2021,Vacant Land,23177 Shippings Rd,Mc Kenney,VA,23872,110000,,,,,871200,,151,,,Sold,,,https://www.redfin.com/VA/McKenney/23177-Shippings-Rd-23872/home/101473837,CVRMLS,2110787,N,Y,36.9574634,-77.646206
PAST SALE,,Single Family Residential,12420 McKenney Hwy,McKenney,VA,23872,230500,4,3.0,,2280,130680,2018,,101,,,,,https://www.redfin.com/VA/McKenney/12420-McKenney-Hwy-23872/home/101474285,,,N,Y,36.9585788,-77.6881591
PAST SALE,,Single Family Residential,21517 Buckskin Dr,McKenney,VA,23872,9000,,,,,174240,,,,,,,,https://www.redfin.com/VA/McKenney/21517-Buckskin-Dr-23872/home/101476586,,,N,Y,36.9748988,-77.7049092
PAST SALE,January-8-2021,Single Family Residential,20732 3rd St,Mc Kenney,VA,23872,174000,4,2.0,,1864,5227,1968,331,93,,Sold,,,https://www.redfin.com/VA/McKenney/20732-3rd-St-23872/home/102238548,CVRMLS,2032495,N,Y,36.986617,-77.719526
PAST SALE,September-23-2021,Vacant Land,12.68 acres Lew Jones Rd,Dewitt,VA,23840,69000,,,,,552776,,73,,,Sold,,,https://www.redfin.com/VA/Dewitt/12-68-acres-Lew-Jones-Rd-23840/home/176138780,CVRMLS,2125608,N,Y,37.0246114,-77.7113737
PAST SALE,November-10-2021,Single Family Residential,10895 Asbury Rd,Mc Kenney,VA,23872,249000,3,2.0,,1248,87120,2008,25,200,,Sold,,,https://www.redfin.com/VA/McKenney/10895-Asbury-Rd-23872/home/59871909,CVRMLS,2127207,N,Y,37.000755,-77.71447
PAST SALE,November-1-2021,Single Family Residential,13605 Mckenney Hwy,Mc Kenney,VA,23872,200000,2,1.0,,1008,254825,1995,34,198,,Sold,,,https://www.redfin.com/VA/McKenney/13605-McKenney-Hwy-23872/home/146784760,CVRMLS,2129982,N,Y,36.956114,-77.667437
PAST SALE,,Single Family Residential,23900 Cutbank Rd,McKenney,VA,23872,51000,3,2.0,,2128,344995,2005,,24,,,,,https://www.redfin.com/VA/McKenney/23900-Cutbank-Rd-23872/home/101475079,,,N,Y,36.9435022,-77.6943881
PAST SALE,October-27-2021,Single Family Residential,11915 Sapony Church Rd,Mc Kenney,VA,23872,246000,3,2.5,,2405,217800,2007,39,102,,Sold,,,https://www.redfin.com/VA/McKenney/11915-Sapony-Church-Rd-23872/home/101476564,CVRMLS,2122727,N,Y,36.969809,-77.6944775
PAST SALE,,Single Family Residential,15005 McKenney Hwy,McKenney,VA,23872,18750,,,,,90169,,,,,,,,https://www.redfin.com/VA/McKenney/15005-McKenney-Hwy-23872/home/101481992,,,N,Y,36.95566,-77.646438
