SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,22 S Howard St Unit R-202,Baltimore,MD,21201,250000,2,2.0,Ward 4,1350,,2006,3,185,605,Active,,,https://www.redfin.com/MD/Baltimore/22-S-Howard-St-21201/unit-R-202/home/11892090,BRIGHT MLS,MDBA2019256,N,Y,39.2885819,-76.6193877
MLS Listing,,Townhouse,22 N Patterson Park Ave,Baltimore,MD,21231,281000,2,2.5,Ward 6,1700,,1920,16,165,,Active,December-5-2021 01:00 PM,December-5-2021 03:00 PM,https://www.redfin.com/MD/Baltimore/22-N-Patterson-Park-Ave-21231/home/10758711,BRIGHT MLS,MDBA2018896,N,Y,39.292417,-76.5850001
MLS Listing,,Townhouse,2025 Eastern Ave,Baltimore,MD,21231,309900,4,3.0,Ward 2,1823,1064,1920,33,170,,Active,December-5-2021 08:00 AM,December-5-2021 08:00 PM,https://www.redfin.com/MD/Baltimore/2025-Eastern-Ave-21231/home/10746677,BRIGHT MLS,MDBA2016710,N,Y,39.285606,-76.588046
MLS Listing,,Townhouse,221 S Wolfe St,Baltimore,MD,21231,170000,1,1.0,Ward 2,1246,,1900,34,136,,Active,,,https://www.redfin.com/MD/Baltimore/221-S-Wolfe-St-21231/home/10749026,BRIGHT MLS,MDBA2000411,N,Y,39.2887025,-76.5900335
MLS Listing,,Townhouse,703 S Bethel St,Baltimore,MD,21231,284900,2,1.5,Ward 2,956,,1900,40,298,,Active,,,https://www.redfin.com/MD/Baltimore/703-S-Bethel-St-21231/home/10744989,BRIGHT MLS,MDBA2015942,N,Y,39.2832414,-76.5942639
MLS Listing,,Condo/Co-op,1726 Aliceanna St Unit 202-SB,Baltimore,MD,21231,239900,2,2.0,Ward 2,1128,,1920,81,213,529,Active,,,https://www.redfin.com/MD/Baltimore/1726-Aliceanna-St-21231/unit-202-SB/home/11892322,BRIGHT MLS,MDBA2012356,N,Y,39.2838964,-76.5918197
MLS Listing,,Townhouse,1408 William St,Baltimore,MD,21230,424999,3,2.5,Ward 24,2556,,1880,101,166,,Active,,,https://www.redfin.com/MD/Baltimore/1408-William-St-21230/home/11016136,BRIGHT MLS,MDBA2010182,N,Y,39.2740897,-76.6103954
MLS Listing,,Townhouse,1110 Riverside Ave,Baltimore,MD,21230,369000,3,2.5,Ward 24,1460,820,1850,149,253,,Active,,,https://www.redfin.com/MD/Baltimore/1110-Riverside-Ave-21230/home/11017647,BRIGHT MLS,MDBA2002300,N,Y,39.2769828,-76.6091048
PAST SALE,,Townhouse,1410 S Hanover St,Baltimore,MD,21230,360000,4,2.5,,2232,1504,1900,,161,,,,,https://www.redfin.com/MD/Baltimore/1410-S-Hanover-St-21230/home/11010400,,,N,Y,39.273292,-76.615559
PAST SALE,,Townhouse,1290 Battery Ave,Baltimore,MD,21230,195000,,1.0,,968,1066,1850,,201,,,,,https://www.redfin.com/MD/Baltimore/1290-Battery-Ave-21230/home/11017194,,,N,Y,39.2744726,-76.6095689
PAST SALE,September-9-2021,Condo/Co-op,123 W Barre St Ph -3,Baltimore,MD,21201,202500,2,2.0,Ward 22,1036,,,87,195,580,Sold,,,https://www.redfin.com/MD/Baltimore/123-W-Barre-St-21201/unit-3/home/11006543,BRIGHT MLS,MDBA2005660,N,Y,39.2828462,-76.6169243
PAST SALE,,Townhouse,1411 Patapsco St,Baltimore,MD,21230,280000,,1.0,,1330,864,1900,,211,,,,,https://www.redfin.com/MD/Baltimore/1411-Patapsco-St-21230/home/11014190,,,N,Y,39.2739196,-76.6130767
PAST SALE,June-30-2021,Condo/Co-op,414 Water St #1113,Baltimore,MD,21202,294900,2,2.0,Ward 4,1403,,2007,158,210,810,Sold,,,https://www.redfin.com/MD/Baltimore/414-Water-St-21202/unit-1113/home/12546807,BRIGHT MLS,MDBA547284,N,Y,39.2888883,-76.6094546
PAST SALE,June-30-2021,Condo/Co-op,1211 Light St #213,Baltimore,MD,21230,155000,1,1.0,Ward 24,640,,2005,158,242,310,Sold,,,https://www.redfin.com/MD/Baltimore/1211-Light-St-21230/unit-213/home/11223468,BRIGHT MLS,MDBA546986,N,Y,39.2755685,-76.6117565
PAST SALE,June-24-2021,Townhouse,1026 Pier Pointe Lndg #106,Baltimore,MD,21230,620000,3,3.5,Ward 24,2833,,2006,164,219,673,Sold,,,https://www.redfin.com/MD/Baltimore/1026-Pointe-Lndg-21230/unit-106/home/11892412,BRIGHT MLS,MDBA545922,N,Y,39.2780239,-76.6060567
PAST SALE,October-8-2019,Townhouse,1331 Webster St,Baltimore,MD,21230,290000,2,2.5,FEDERAL HILL,1152,,1910,789,252,,Sold,,,https://www.redfin.com/MD/Baltimore/1331-Webster-St-21230/home/11021522,BRIGHT MLS,MDBA480210,N,Y,39.273331,-76.603399
PAST SALE,,Townhouse,1433 E Baltimore St,Baltimore,MD,21231,240000,,2.5,,1548,1445,1994,,155,,,,,https://www.redfin.com/MD/Baltimore/1433-E-Baltimore-St-21231/home/10749681,,,N,Y,39.2912589,-76.5975933
PAST SALE,,Townhouse,2002 Gough St,Baltimore,MD,21231,340000,,3.5,,1624,840,1900,,209,,,,,https://www.redfin.com/MD/Baltimore/2002-Gough-St-21231/home/10749354,,,N,Y,39.2880217,-76.5884903
PAST SALE,,Townhouse,1323 S Charles St,Baltimore,MD,21230,327900,,2.5,,1770,1050,1900,,185,,,,,https://www.redfin.com/MD/Baltimore/1323-S-Charles-St-21230/home/11014010,,,N,Y,39.2742263,-76.6140019
PAST SALE,,Townhouse,850 Ryan St,Baltimore,MD,21230,295000,,3.0,,1888,1829,2006,,156,,,,,https://www.redfin.com/MD/Baltimore/850-Ryan-St-21230/home/25787107,,,N,Y,39.2843812,-76.6308486
PAST SALE,January-4-2021,Townhouse,210 N Chester St,Baltimore,MD,21231,268000,2,2.5,Ward 6,2344,,1900,335,114,,Sold,,,https://www.redfin.com/MD/Baltimore/210-N-Chester-St-21231/home/10757128,BRIGHT MLS,MDBA523234,N,Y,39.2947188,-76.5878215
PAST SALE,May-3-2019,Townhouse,302 Parkin St,Baltimore,MD,21230,319500,4,3.5,CAMDEN CROSSING,1496,,2010,947,214,90,Sold,,,https://www.redfin.com/MD/Baltimore/302-Parkin-St-21230/home/23459983,BRIGHT MLS,MDBA276920,N,Y,39.2844044,-76.630584
PAST SALE,November-19-2019,Townhouse,121 E West St,Baltimore,MD,21230,399000,3,3.5,FEDERAL HILL,1636,871,1860,747,244,,Sold,,,https://www.redfin.com/MD/Baltimore/121-E-West-St-21230/home/11015745,BRIGHT MLS,MDBA483870,N,Y,39.2759051,-76.6111974
PAST SALE,November-15-2019,Townhouse,1727 S Charles St,Baltimore,MD,21230,324900,2,2.5,Baltimore,1922,,1875,751,169,,Sold,,,https://www.redfin.com/MD/Baltimore/1727-S-Charles-St-21230/home/11013464,BRIGHT MLS,MDBA486656,N,Y,39.2699449,-76.613686
PAST SALE,July-20-2021,Townhouse,924 E Pratt St #119,Baltimore,MD,21202,320000,3,2.5,Ward 3,2301,,2005,138,139,165,Sold,,,https://www.redfin.com/MD/Baltimore/924-E-Pratt-St-21202/unit-119/home/11222561,BRIGHT MLS,MDBA554582,N,Y,39.2880279,-76.6017718
