SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-12-2021,Single Family Residential,7012 Presley Rd,Lanham,MD,20706,395000,3,3.0,PRESLEY MANOR,1530,21209,1950,268,258,,Sold,,,https://www.redfin.com/MD/Lanham/7012-Presley-Rd-20706/home/10890075,BRIGHT MLS,MDPG593848,N,Y,38.9838911,-76.8490553
PAST SALE,,Single Family Residential,6305 Rory Ct,Lanham,MD,20706,550000,,2.5,,3524,11064,2002,,156,,,,,https://www.redfin.com/MD/Lanham/6305-Rory-Ct-20706/home/10873999,,,N,Y,38.9766294,-76.8300429
PAST SALE,,Townhouse,7022 Cipriano Woods Ct,Lanham,MD,20706,275000,,2.5,,1280,1500,1978,,215,,,,,https://www.redfin.com/MD/Lanham/7022-Cipriano-Woods-Ct-20706/home/11084783,,,N,Y,38.9861239,-76.855323
PAST SALE,September-1-2020,Townhouse,10110 Dorsey Ln #56,Lanham,MD,20706,341000,3,2.5,Lanham,1700,,2017,460,201,264,Sold,,,https://www.redfin.com/MD/Lanham/10110-Dorsey-Ln-20706/unit-56/home/172618605,BRIGHT MLS,MDPG575184,N,Y,38.994714,-76.8305261
PAST SALE,June-17-2021,Single Family Residential,9809 Woodberry St,Lanham,MD,20706,453000,3,3.0,RUTLEDGE,2058,6971,1996,171,220,,Sold,,,https://www.redfin.com/MD/Lanham/9809-Woodberry-St-20706/home/10884975,BRIGHT MLS,MDPG603278,N,Y,38.9810745,-76.8387836
PAST SALE,September-2-2021,Single Family Residential,9105 4th St,Lanham,MD,20706,395000,3,2.0,HYNESBORO PARK,2008,7500,1970,94,197,,Sold,,,https://www.redfin.com/MD/Lanham/9105-4th-St-20706/home/11054406,BRIGHT MLS,MDPG2004228,N,Y,38.971603,-76.857568
PAST SALE,December-18-2020,Single Family Residential,9019 Hickory Hill Ave,Lanham,MD,20706,335000,5,3.0,PRINCESS GARDENS,2380,6624,1971,352,141,,Sold,,,https://www.redfin.com/MD/Lanham/9019-Hickory-Hill-Ave-20706/home/11063338,BRIGHT MLS,MDPG583554,N,Y,38.9704219,-76.8598668
PAST SALE,February-28-2020,Townhouse,6808 Storch Ct,Lanham,MD,20706,323000,3,3.0,WOODSTREAM EAST PLAT SEV,2010,2068,1984,646,161,54,Sold,,,https://www.redfin.com/MD/Lanham/6808-Storch-Ct-20706/home/10903795,BRIGHT MLS,MDPG553466,N,Y,38.9843695,-76.8261792
PAST SALE,April-30-2021,Townhouse,3201 W Glenreed Ct,Glenarden,MD,20706,310000,3,2.5,GLENARDEN-RESBUB LOTS 14,1192,3702,1998,219,260,,Sold,,,https://www.redfin.com/MD/Glenarden/3201-W-Glenreed-Ct-20706/home/10863297,BRIGHT MLS,MDPG600592,N,Y,38.9338777,-76.8636147
PAST SALE,April-28-2021,Single Family Residential,8924 Walkerton Dr,Lanham,MD,20706,419000,4,3.0,WHITFIELD WOODS,1932,6700,1971,221,217,,Sold,,,https://www.redfin.com/MD/Lanham/8924-Walkerton-Dr-20706/home/11056020,BRIGHT MLS,MDPG600140,N,Y,38.9470942,-76.8503618
PAST SALE,April-15-2020,Townhouse,9533 Smithview Pl,Lanham,MD,20706,435000,3,3.5,WOODMORE TOWNE CENTRE,2491,2115,2017,599,175,110,Sold,,,https://www.redfin.com/MD/Lanham/9533-Smithview-Pl-20706/home/64331078,BRIGHT MLS,MDPG557042,N,Y,38.9254777,-76.8466732
PAST SALE,,Single Family Residential,2702 Brownlee Ct,Lanham,MD,20706,570000,,2.5,,3068,7683,2015,,186,,,,,https://www.redfin.com/MD/Lanham/2702-Brownlee-Ct-20706/home/64330882,,,N,Y,38.9290252,-76.8492098
PAST SALE,,Single Family Residential,9302 Fontana Dr,Lanham,MD,20706,350000,,1.0,,1025,8376,1960,,341,,,,,https://www.redfin.com/MD/Lanham/9302-Fontana-Dr-20706/home/11053345,,,N,Y,38.9644218,-76.8483796
PAST SALE,,Single Family Residential,7005 Blue Bird Ct,Lanham,MD,20706,435000,,2.5,,1980,9882,1971,,220,,,,,https://www.redfin.com/MD/Lanham/7005-Blue-Bird-Ct-20706/home/11103971,,,N,Y,38.9818519,-76.8585604
PAST SALE,December-21-2018,Single Family Residential,9309 Calanda St,Lanham,MD,20706,275000,4,2.0,SEABROOK PARK ESTATES,912,6500,1964,1080,302,,Sold,,,https://www.redfin.com/MD/Lanham/9309-Calanda-St-20706/home/11047720,BRIGHT MLS,MDPG100074,N,Y,38.9596574,-76.8449107
PAST SALE,December-4-2020,Townhouse,6900 Cipriano Woods Ct,Lanham,MD,20706,289000,3,2.5,CIPRIANO WOODS,1280,1900,1979,366,226,40,Sold,,,https://www.redfin.com/MD/Lanham/6900-Cipriano-Woods-Ct-20706/home/11084818,BRIGHT MLS,MDPG577500,N,Y,38.985452,-76.855344
PAST SALE,June-23-2020,Townhouse,6916 Woodstream Ter,Lanham,MD,20706,296000,3,3.5,WOODSTREAM VILLAGE PLAT,1400,2250,1980,530,211,77,Sold,,,https://www.redfin.com/MD/Lanham/6916-Woodstream-Ter-20706/home/10903105,BRIGHT MLS,MDPG566976,N,Y,38.98564,-76.8341317
PAST SALE,May-28-2021,Townhouse,3301 E Glenreed Ct,Glenarden,MD,20706,340000,3,3.0,GLENARDEN-RESUB LOTS 1-2,1752,4392,1999,191,194,,Sold,,,https://www.redfin.com/MD/Glenarden/3301-E-Glenreed-Ct-20706/home/10863448,BRIGHT MLS,MDPG601890,N,Y,38.9333293,-76.8620893
PAST SALE,November-19-2021,Single Family Residential,4607 Gladys Ct,Lanham,MD,20706,450000,3,3.5,CRANDALL WOODS,1538,6527,1996,16,293,,Sold,,,https://www.redfin.com/MD/Lanham/4607-Gladys-Ct-20706/home/11077690,BRIGHT MLS,MDPG2001015,N,Y,38.9539467,-76.8482444
PAST SALE,September-20-2021,Townhouse,7103 Forbes Blvd,Lanham,MD,20706,380000,3,3.5,WOODSTREAM EAST PLAT ONE,2068,2112,1981,76,184,54,Sold,,,https://www.redfin.com/MD/Lanham/7103-Forbes-Blvd-20706/home/10901807,BRIGHT MLS,MDPG2005218,N,Y,38.986869,-76.828813
PAST SALE,February-26-2021,Townhouse,9028 Ruby Lockhart Blvd,Lanham,MD,20706,435000,3,3.0,WOODMORE TOWNE CENTRE,2183,1896,2015,282,199,109,Sold,,,https://www.redfin.com/MD/Lanham/9028-Ruby-Lockhart-Blvd-20706/home/64330997,BRIGHT MLS,MDPG594602,N,Y,38.9246955,-76.8481846
PAST SALE,December-7-2020,Townhouse,10122 Dorsey Ln #62,Lanham,MD,20706,341000,3,2.5,GLENDALE,1700,,2017,363,201,264,Sold,,,https://www.redfin.com/MD/Lanham/10122-Dorsey-Ln-20706/unit-62/home/173574448,BRIGHT MLS,MDPG585292,N,Y,38.9947319,-76.8298687
PAST SALE,August-1-2019,Townhouse,6916 Storch Cir,Lanham,MD,20706,296000,3,2.5,WOODSTREAM EAST PLAT THR,1848,2100,1983,857,160,5,Sold,,,https://www.redfin.com/MD/Lanham/6916-Storch-Cir-20706/home/10903658,BRIGHT MLS,MDPG531830,N,Y,38.9851757,-76.8280604
PAST SALE,November-12-2020,Single Family Residential,9409 Dubarry Ave,Lanham,MD,20706,405000,4,2.0,SEABROOK-RESUB OF LOTS 1,1806,20665,1871,388,224,,Sold,,,https://www.redfin.com/MD/Lanham/9409-Dubarry-Ave-20706/home/11078175,BRIGHT MLS,MDPG582914,N,Y,38.9689637,-76.8463974
PAST SALE,May-29-2019,Townhouse,9626 Smithview Pl,Lanham,MD,20706,420000,3,3.5,WOODMORE TOWNE CENTRE,1958,2851,2016,921,215,109,Sold,,,https://www.redfin.com/MD/Lanham/9626-Smithview-Pl-20706/home/64330659,BRIGHT MLS,MDPG504076,N,Y,38.924238,-76.8469984
PAST SALE,March-23-2021,Townhouse,2613 Campus Way N #46,Lanham,MD,20706,350000,3,2.5,WOODMORE TOWNE CENTRE,1600,,2016,257,219,282,Sold,,,https://www.redfin.com/MD/Lanham/2613-Campus-Way-N-20706/unit-46/home/105505645,BRIGHT MLS,MDPG591120,N,Y,38.9245605,-76.8461595
