SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,841 N Montford Ave,Baltimore,MD,21205,159900,,1.0,,546,933,1920,,293,,,,,https://www.redfin.com/MD/Baltimore/841-N-Montford-Ave-21205/home/10764703,,,N,Y,39.300697,-76.583588
PAST SALE,June-25-2020,Townhouse,1028 N Broadway,Baltimore,MD,21205,195000,4,2.0,Ward 7,,,1920,528,,,Sold,,,https://www.redfin.com/MD/Baltimore/1028-N-Broadway-21205/home/10768489,BRIGHT MLS,MDBA503062,N,Y,39.302585,-76.5947843
MLS Listing,,Townhouse,810 N Patterson Park Ave,Baltimore,MD,21205,299900,3,3.5,Ward 7,,,1920,3,,57,Active,,,https://www.redfin.com/MD/Baltimore/810-N-Patterson-Park-Ave-21205/home/10769775,BRIGHT MLS,MDBA2020394,N,Y,39.3000867,-76.5854249
MLS Listing,,Townhouse,716 N Collington Ave,Baltimore,MD,21205,349900,2,3.5,Ward 7,2730,,1920,3,128,,Active,,,https://www.redfin.com/MD/Baltimore/716-N-Collington-Ave-21205/home/10769962,BRIGHT MLS,MDBA2020360,N,Y,39.2993312,-76.5869355
MLS Listing,,Townhouse,2103 E Madison St,Baltimore,MD,21205,218888,3,3.0,Ward 7,2380,882,1920,3,92,,Active,,,https://www.redfin.com/MD/Baltimore/2103-E-Madison-St-21205/home/10769944,BRIGHT MLS,MDBA2019338,N,Y,39.299515,-76.587418
MLS Listing,,Townhouse,813 N Belnord Ave,Baltimore,MD,21205,20000,3,1.0,Ward 7,,,1920,4,,,Active,,,https://www.redfin.com/MD/Baltimore/813-N-Belnord-Ave-21205/home/10776292,BRIGHT MLS,MDBA2020180,N,Y,39.3005585,-76.5786783
MLS Listing,,Townhouse,811 N Belnord Ave,Baltimore,MD,21205,20000,3,1.0,Ward 7,,,1920,4,,,Active,,,https://www.redfin.com/MD/Baltimore/811-N-Belnord-Ave-21205/home/10776294,BRIGHT MLS,MDBA2020160,N,Y,39.3005249,-76.5786759
MLS Listing,,Townhouse,805 N Streeper St,Baltimore,MD,21205,129000,3,1.5,Ward 7,,,1920,6,,,Active,,,https://www.redfin.com/MD/Baltimore/805-N-Streeper-St-21205/home/10776457,BRIGHT MLS,MDBA2019868,N,Y,39.3004974,-76.5772802
MLS Listing,,Townhouse,637 N Lakewood Ave,Baltimore,MD,21205,165000,4,2.0,Ward 7,1808,1300,1915,7,91,,Active,,,https://www.redfin.com/MD/Baltimore/637-N-Lakewood-Ave-21205/home/10772966,BRIGHT MLS,MDBA2019766,N,Y,39.2986584,-76.5792666
MLS Listing,,Townhouse,803 N Montford Ave,Baltimore,MD,21205,160000,3,1.0,Ward 7,,933,1920,12,,,Active,,,https://www.redfin.com/MD/Baltimore/803-N-Montford-Ave-21205/home/10764658,BRIGHT MLS,MDBA2019510,N,Y,39.3000043,-76.5836231
