SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,Benders Ln,Sherwood,MD,21665,1500000,,,Sherwood,,2439360,,184,,,Active,,,https://www.redfin.com/MD/5-Bay-Hundred/Benders-Ln-21665/home/143209473,BRIGHT MLS,MDTA141390,N,Y,38.73681474,-76.31571403
MLS Listing,,Vacant Land,8519 Tilghman Island Rd,Wittman,MD,21676,60000,,,Wittman,,21780,,194,,,Active,,,https://www.redfin.com/MD/Wittman/8519-Tilghman-Island-Rd-21676/home/15337927,BRIGHT MLS,MDTA141274,N,Y,38.7846869,-76.3140747
MLS Listing,,Vacant Land,21780 Ensey Farm Ln,Wittman,MD,21676,76000,,,Wittman,,32670,,235,,,Active,,,https://www.redfin.com/MD/WITTMAN/21780-ENSEY-FARM-LN-21676/home/15338163,BRIGHT MLS,MDTA140886,N,Y,38.755496,-76.323568
MLS Listing,,Single Family Residential,22020 Benders Ln,Sherwood,MD,21665,5350000,4,6.0,Sherwood,10781,4922280,1999,924,496,,Active,,,https://www.redfin.com/MD/Sherwood/22020-Benders-Ln-21665/home/17950089,BRIGHT MLS,MDTA135344,N,Y,38.734004,-76.3173599
PAST SALE,October-28-2019,Single Family Residential,7491 Cabin Cove Rd S,Sherwood,MD,21665,1400000,4,3.5,LANGDON FARM,4347,270464,2002,769,322,,Sold,,,https://www.redfin.com/MD/Sherwood/7491-Cabin-Cove-Rd-21665/home/15337495,BRIGHT MLS,MDTA136120,N,Y,38.757938,-76.333707
PAST SALE,October-11-2019,Vacant Land,Lot 24 Ferry Cove Rd,Sherwood,MD,21665,275000,,,LANDGON FARM,,240451,,786,,,Sold,,,https://www.redfin.com/MD/5-Bay-Hundred/Lot-24-Ferry-Cove-Rd-21665/home/168702657,BRIGHT MLS,MDTA136042,N,Y,38.75959,-76.32784
PAST SALE,,Vacant Land,FERRY COVE RD,SHERWOOD,MD,21665,275000,,,,,240451,,,,,,,,https://www.redfin.com/MD/SHERWOOD/FERRY-COVE-RD-21665/home/23122419,,,N,Y,38.761548,-76.327605
PAST SALE,December-6-2019,Vacant Land,0 Cabin Cove Rd,Sherwood,MD,21665,275000,,,LANGDON FARM,,233830,,730,,,Sold,,,https://www.redfin.com/MD/SHERWOOD/CABIN-COVE-RD-21665/home/23122075,BRIGHT MLS,MDTA135804,N,Y,38.754172,-76.333718
PAST SALE,,Vacant Land,LANGDON FARM RD,SHERWOOD,MD,21665,475000,,,,,266152,,,,,,,,https://www.redfin.com/MD/SHERWOOD/LANGDON-FARM-RD-21665/home/23123021,,,N,Y,38.747666,-76.314568
PAST SALE,,Vacant Land,LANGDON FARM RD,SHERWOOD,MD,21665,550000,,,,,181210,,,,,,,,https://www.redfin.com/MD/SHERWOOD/LANGDON-FARM-RD-21665/home/23123023,,,N,Y,38.747641,-76.32084
PAST SALE,,Single Family Residential,21630 Heavenly Haven Rd,Sherwood,MD,21665,290000,,2.0,,2184,119790,1996,,133,,,,,https://www.redfin.com/MD/Sherwood/21630-Heavenly-Haven-Rd-21665/home/15337308,,,N,Y,38.740113,-76.329601
PAST SALE,February-24-2021,Vacant Land,Lot 9 Langdon Farm Rd,Sherwood,MD,21665,550000,,,N TILGHMAN,,181210,,284,,,Sold,,,https://www.redfin.com/MD/5-Bay-Hundred/Lot-9-Langdon-Farm-Rd-21665/home/168713622,BRIGHT MLS,1000048651,N,Y,38.7488,-76.32516
PAST SALE,February-8-2021,Vacant Land,Lot # 45 Holly Woods Rd,Sherwood,MD,21665,45000,,,Sherwood,,108464,,300,,,Sold,,,https://www.redfin.com/MD/5-Bay-Hundred/Lot-45-Holly-Woods-Rd-21665/home/171306277,BRIGHT MLS,MDTA137898,N,Y,38.73247809,-76.3246312
PAST SALE,,Vacant Land,DEEP HARBOUR FARM RD,SHERWOOD,MD,21665,70000,,,,,87556,,,,,,,,https://www.redfin.com/MD/SHERWOOD/DEEP-HARBOUR-FARM-RD-21665/home/23123009,,,N,Y,38.735138,-76.328689
PAST SALE,April-26-2019,Single Family Residential,7535 Cabin Cove Rd N,Sherwood,MD,21665,1340000,4,4.5,LANGDON FARM,6400,852034,1995,954,209,,Sold,,,https://www.redfin.com/MD/Sherwood/7535-Cabin-Cove-Rd-N-21665/home/113864562,BRIGHT MLS,1000343300,N,Y,38.761744,-76.333221
PAST SALE,August-23-2019,Single Family Residential,21456 Donnell Jones Rd,Sherwood,MD,21665,900000,8,9.5,SHERWOOD,11342,1188317,1995,835,79,,Sold,,,https://www.redfin.com/MD/Sherwood/21456-Donnell-Jones-Rd-21665/home/145924966,BRIGHT MLS,MDTA135078,N,Y,38.744717,-76.338288
PAST SALE,,Vacant Land,DEEP HARBOUR FARM RD,SHERWOOD,MD,21665,65000,,,,,87120,,,,,,,,https://www.redfin.com/MD/SHERWOOD/DEEP-HARBOUR-FARM-RD-21665/home/23123012,,,N,Y,38.736323,-76.327858
PAST SALE,June-28-2020,Single Family Residential,7350 Cabin Cove Rd S,Sherwood,MD,21665,1910000,5,5.5,LANDGON FARM,7527,2202829,1995,525,254,,Sold,,,https://www.redfin.com/MD/Sherwood/7350-Cabin-Cove-Rd-21665/home/25677733,BRIGHT MLS,MDTA138542,N,Y,38.7510819,-76.3379889
