SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,Tract 13 High Knob Rd,Old Fields,WV,26845,35000,,,Old Fields,,314938,,26,,,Active,,,https://www.redfin.com/WV/Old-Fields/13-High-Knob-Rd-26845/home/174290505,BRIGHT MLS,WVHD2000408,N,Y,39.1924792,-78.9260131
MLS Listing,,Vacant Land,20 Hickory Loop Dr,Old Fields,WV,26845,22900,,,HICKORY KNOLL,,94960,,26,,21,Active,,,https://www.redfin.com/WV/Old-Fields/20-Hickory-Hill-Rd-26845/home/145964180,BRIGHT MLS,WVHD2000406,N,Y,39.2154099,-78.92312
MLS Listing,,Vacant Land,19 Hickory Loop Dr,Old Fields,WV,26845,29900,,,HICKORY KNOLL,,101494,,26,,21,Active,,,https://www.redfin.com/WV/Old-Fields/19-Hickory-Hill-Rd-26845/home/144912427,BRIGHT MLS,WVHD2000404,N,Y,39.2154099,-78.92312
MLS Listing,,Single Family Residential,461 Wisteria Ln,Old Fields,WV,26845,205000,3,2.0,Old Fields,1620,193406,2017,52,127,,Active,,,https://www.redfin.com/WV/Old-Fields/461-Wisteria-Ln-26845/home/169071559,BRIGHT MLS,WVHD2000029,N,Y,39.159227,-78.975994
MLS Listing,,Vacant Land,Lot 15 Highland Spgs,Old Fields,WV,26845,14900,,,HIGHLAND SPRINGS,,95396,,110,,7,Active,,,https://www.redfin.com/WV/Old-Fields/Lot-15-Highland-SPGS-Unknown/home/176137698,BRIGHT MLS,WVHD2000216,N,Y,39.19897,-78.99266
MLS Listing,,Vacant Land,6.17 Acres Highland Springs Rd,Old Fields,WV,26845,19900,,,HIGHLAND SPRING,,268765,,112,,7,Active,,,https://www.redfin.com/WV/Old-Fields/6-16-Acres-Highland-Springs-RD-Unknown/home/176128038,BRIGHT MLS,WVHD2000208,N,Y,39.1995212,-78.99376363
MLS Listing,,Vacant Land,Hickory Loop Dr,Purgitsville,WV,26845,75000,,,HICKORY KNOLLS,,198198,,117,,54,Active,,,https://www.redfin.com/WV/OLD-FIELDS/HICKORY-HILL-RD-26845/home/23154217,BRIGHT MLS,WVHD2000186,N,Y,39.215492,-78.921513
MLS Listing,,Single Family Residential,1183 Mountain Rd,Old Fields,WV,26845,249900,3,2.0,Old Fields,1456,58806,2021,120,172,,Active,,,https://www.redfin.com/WV/Old-Fields/1183-Mountain-Rd-26845/home/176040137,BRIGHT MLS,WVHD2000178,N,Y,39.1934337,-78.9829511
MLS Listing,,Single Family Residential,524 High Knob Rd,Old Fields,WV,26845,500000,8,4.0,OLD FIELDS OWNERS ASSOCIATION,3115,233482,1979,153,161,10,Active,,,https://www.redfin.com/WV/Old-Fields/524-High-Knob-Rd-26845/home/15907871,BRIGHT MLS,WVHD2000076,N,Y,39.190848,-78.925118
MLS Listing,,Vacant Land,Lot 1 Proctor Rd,Purgitsville,WV,26852,49000,,,DEERFIELD HIGHLANDS,,220849,,185,,8,Active,,,https://www.redfin.com/WV/Junction/Lot-1-Proctor-RD-26852/home/175261617,BRIGHT MLS,WVHS115814,N,Y,39.21261631,-78.89763061
MLS Listing,,Vacant Land,LOT 19 SEC 14 High Knob Rd,Old Fields,WV,26845,49900,,,OLD FIELDS OWNER ASSOCIATION,,279655,,230,,,Active,,,https://www.redfin.com/WV/Old-Fields/14-High-Knob-Rd-26845/home/147385366,BRIGHT MLS,WVHD106820,N,Y,39.1924792,-78.9260131
MLS Listing,,Vacant Land,Tract 9 High Knob Rd,Old Fields,WV,26845,31500,,,Old Fields,,306227,,250,,10,Active,,,https://www.redfin.com/WV/Old-Fields/9-High-Knob-Rd-26845/home/174800097,BRIGHT MLS,WVHD106736,N,Y,39.1924792,-78.9260131
MLS Listing,,Vacant Land,High View Rd,Purgitsville,WV,26852,24900,,,DEERFIELD HIGHLANDS,,218236,,260,,8,Active,,,https://www.redfin.com/WV/OLD-FIELDS/HIGH-VIEW-RD-26845/home/15895131,BRIGHT MLS,WVHS115438,N,Y,39.209915,-78.892649
MLS Listing,,Single Family Residential,203 Shawnee Hill Dr,Old Fields,WV,26845,195000,3,2.0,Old Fields,1800,292287,2005,324,108,,Active,,,https://www.redfin.com/WV/Old-Fields/203-Shawnee-Hill-DR-26845/home/160705417,BRIGHT MLS,WVHD106556,N,Y,39.18738864,-78.99917567
MLS Listing,,Vacant Land,19 High Knob,Old Fields,WV,26845,39900,,,Old Fields,,261796,,367,,25,Active,,,https://www.redfin.com/WV/Old-Fields/19-High-Knob-Rd-26845/home/28869062,BRIGHT MLS,WVHD106498,N,Y,39.1924792,-78.9260131
PAST SALE,September-5-2019,Single Family Residential,9143 Rt 220 Hwy,Old Fields,WV,26845,140000,3,2.0,Old Fields,1680,203861,1975,822,83,,Sold,,,https://www.redfin.com/WV/Old-Fields/9143-U-S-Highway-220-26845/home/148035438,BRIGHT MLS,WVHD100016,N,Y,39.1892319,-78.9342
PAST SALE,January-13-2021,Single Family Residential,524 Hickory Hill Rd,Purgitsville,WV,26852,140000,3,2.0,Purgitsville,1380,270507,2012,326,101,,Sold,,,https://www.redfin.com/WV/Purgitsville/524-Hickory-Hill-Rd-26852/home/52325879,BRIGHT MLS,WVHS114850,N,Y,39.2098119,-78.9175366
PAST SALE,,Single Family Residential,,,WV,,80000,3,2.0,,1836,239580,2003,,44,,,,,https://www.redfin.com/WV/Unknown/Unknown-Unknown/home/17460981,,,N,Y,39.195352,-78.926237
PAST SALE,November-30-2021,Vacant Land,11 Hickory Loop Dr,Old Fields,WV,26845,24500,,,HICKORY KNOLL,,101059,,5,,25,Sold,,,https://www.redfin.com/WV/Old-Fields/11-Hickory-Hill-Rd-26845/home/147274231,BRIGHT MLS,WVHD106846,N,Y,39.2154099,-78.92312
PAST SALE,April-26-2021,Vacant Land,1402 Walnut Bottom Hideaway,Fisher,WV,26818,32000,,,WALNUT BOTTOM HIDEAWAY,,243500,,223,,,Sold,,,https://www.redfin.com/WV/Fisher/1402-Walnut-Bottom-Hideaway-26818/home/160370833,BRIGHT MLS,WVHD104308,N,Y,39.12856231,-79.0006112
PAST SALE,August-31-2021,Single Family Residential,1902 High Knob Rd,Old Fields,WV,26845,175000,1,1.0,OLD FIELDS OWNERS ASSOCIATION,500,1343826,1980,96,350,10,Sold,,,https://www.redfin.com/WV/Old-Fields/1902-High-Knob-Rd-26845/home/167230591,BRIGHT MLS,WVHD2000096,N,Y,39.190526,-78.914885
PAST SALE,,Single Family Residential,,,WV,,175000,3,2.0,,1344,85334,2019,,130,,,,,https://www.redfin.com/WV/Unknown/Unknown-Unknown/home/23180957,,,N,Y,39.185681,-78.9647
PAST SALE,,Single Family Residential,INTERSECTION ROUTE 220 & JC MA,OLD FIELDS,WV,26845,140000,4,2.0,,2278,203687,1975,,61,,,,,https://www.redfin.com/WV/OLD-FIELDS/INTERSECTION-ROUTE-220-JC-MA-26845/home/15907461,,,N,Y,39.189472,-78.934722
PAST SALE,,Single Family Residential,OFF ROUTE 220 884,OLD FIELDS,WV,26845,175000,1,2.5,,1508,305356,1972,,116,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-884-26845/home/15907865,,,N,Y,39.19137,-78.918748
PAST SALE,,Single Family Residential,FLATS,OLD FIELDS,WV,26845,127000,1,1.0,,672,259748,2001,,189,,,,,https://www.redfin.com/WV/OLD-FIELDS/FLATS-26845/home/15909708,,,N,Y,39.198335,-78.99358
PAST SALE,,Vacant Land,OFF ROUTE 220,OLD FIELDS,WV,26845,6667,,,,,219542,,,,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-26845/home/15907186,,,N,Y,39.195237,-78.898506
PAST SALE,,Vacant Land,OFF ROUTE 220,OLD FIELDS,WV,26845,20000,,,,,435600,,,,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-26845/home/15907855,,,N,Y,39.192512,-78.906937
PAST SALE,,Single Family Residential,,,WV,,128500,3,2.0,,1296,229997,2006,,99,,,,,https://www.redfin.com/WV/Unknown/Unknown-Unknown/home/17461109,,,N,Y,39.194685,-78.922384
PAST SALE,April-17-2020,Single Family Residential,84 Becky Ln,Old Fields,WV,26845,135000,3,2.0,BECKY WEBB DEVELOPMENT,,100188,1998,597,,,Sold,,,https://www.redfin.com/WV/Old-Fields/84-Becky-Ln-26845/home/15907090,BRIGHT MLS,WVHD105634,N,Y,39.1544177,-78.964628
PAST SALE,,Vacant Land,OFF ROUTE 220,OLD FIELDS,WV,26845,49900,,,,,871200,,,,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-26845/home/15908106,,,N,Y,39.179755,-78.911466
PAST SALE,,Other,OFF ROUTE 220,OLD FIELDS,WV,26845,54167,,,,,243936,,,,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-26845/home/15908099,,,N,Y,39.185392,-78.907721
PAST SALE,,Single Family Residential,OFF ROUTE 220,OLD FIELDS,WV,26845,157000,3,2.0,,2160,285318,2008,,73,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-26845/home/15907766,,,N,Y,39.187264,-78.900942
PAST SALE,,Vacant Land,OFF ROUTE 220,OLD FIELDS,WV,26845,17500,,,,,376358,,,,,,,,https://www.redfin.com/WV/OLD-FIELDS/OFF-ROUTE-220-26845/home/15907758,,,N,Y,39.181811,-78.906014
PAST SALE,,Single Family Residential,242 Old Fields Rd,Old Fields,WV,26845,255000,3,2.0,,1776,122404,2005,,144,,,,,https://www.redfin.com/WV/Old-Fields/242-Old-Fields-Rd-26845/home/15906682,,,N,Y,39.144061,-78.9558
PAST SALE,,Single Family Residential,220 Old Fields Rd,Old Fields,WV,26845,139550,3,2.0,,1135,121968,1991,,123,,,,,https://www.redfin.com/WV/Old-Fields/220-Old-Fields-Rd-26845/home/15906677,,,N,Y,39.141307,-78.958246
PAST SALE,November-20-2019,Single Family Residential,884 High Knob Rd,Old Fields,WV,26845,175000,3,2.0,OLD FIELDS LIMITED PARTNERSHIP,1396,305356,1972,746,125,10,Sold,,,https://www.redfin.com/WV/Old-Fields/884-High-Knob-Rd-26845/home/167097455,BRIGHT MLS,WVHD105214,N,Y,39.192551,-78.918894
PAST SALE,May-24-2019,Single Family Residential,252 Sweet Serenity Ln,Purgitsville,WV,26852,120000,3,2.5,Purgitsville,1960,87120,1991,926,61,,Sold,,,https://www.redfin.com/WV/PURGITSVILLE/252-SWEET-SERENITY-Ln-26852/home/148526914,BRIGHT MLS,WVHS105956,N,Y,39.2160737,-78.91846389
PAST SALE,November-12-2021,Single Family Residential,5477 High Knob Rd,Old Fields,WV,26845,212500,2,1.0,OLD FIELDS OWNER ASSOCIATION,900,430372,2021,23,236,10,Sold,,,https://www.redfin.com/WV/Unknown/5477-High-Knob-Rd-26845/home/175727665,BRIGHT MLS,WVHD2000116,N,Y,39.1833331,-78.9028296
PAST SALE,December-20-2019,Single Family Residential,178 Dayton,Old Fields,WV,26845,80000,3,2.0,HIGH KNOB/OLD FIELDS,1836,239580,2003,716,44,,Sold,,,https://www.redfin.com/WV/Old-Fields/178-Dayton-26845/home/169257751,BRIGHT MLS,WVHD105554,N,Y,39.19446079,-78.9272402
PAST SALE,December-6-2019,Single Family Residential,2819 High Knob Rd,Old Fields,WV,26845,209000,2,1.0,OLD FIELDS LIMITED PARTNERSHIP,1096,224334,2007,730,191,10,Sold,,,https://www.redfin.com/WV/Old-Fields/2819-High-Knob-Rd-26845/home/167225833,BRIGHT MLS,WVHD105286,N,Y,39.18137339,-78.91197225
PAST SALE,May-2-2019,Single Family Residential,233 Westbrook Rd,Old Fields,WV,26845,128500,3,2.0,HIGH KNOB SUBDIVISION,1296,229997,2006,948,99,10,Sold,,,https://www.redfin.com/WV/Old-Fields/233-Westbrook-RD-Unknown/home/160685755,BRIGHT MLS,WVHD104662,N,Y,39.19473927,-78.92170279
PAST SALE,August-14-2020,Single Family Residential,305 Eight Is Enough Ln,Old Fields,WV,26845,1200000,3,2.0,Old Fields,2079,1030629,2002,478,577,,Sold,,,https://www.redfin.com/WV/Old-Fields/305-Eight-Is-Enough-Ln-26845/home/169399881,BRIGHT MLS,WVHD105570,N,Y,39.1562939,-78.9330175
