SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,17 Cherry Bend Ct,Germantown,MD,20874,369900,4,3.5,GERMANTOWN VIEW,1344,1937,1987,4,275,85,Active,,,https://www.redfin.com/MD/Germantown/17-Cherry-Bend-Ct-20874/home/10825433,BRIGHT MLS,MDMC2023660,N,Y,39.1690989,-77.2691268
MLS Listing,,Single Family Residential,14010 Berryville Rd,Germantown,MD,20874,649000,3,3.0,DARNESTOWN OUTSIDE,2458,19602,1965,5,264,,Active,December-5-2021 01:00 PM,December-5-2021 03:00 PM,https://www.redfin.com/MD/Germantown/14010-Berryville-Rd-20874/home/10606616,BRIGHT MLS,MDMC2024250,N,Y,39.0853276,-77.3252857
MLS Listing,,Townhouse,30 Cross Ridge Ct,Germantown,MD,20874,299000,2,1.0,GUNNERS LAKE VILLAGE,945,1085,1984,5,316,88,Active,December-5-2021 08:00 AM,December-5-2021 08:00 PM,https://www.redfin.com/MD/Germantown/30-Cross-Ridge-Ct-20874/home/10822265,BRIGHT MLS,MDMC2024298,N,Y,39.173145,-77.259418
MLS Listing,,Townhouse,19204 Misty Meadow Ter,Germantown,MD,20874,275000,2,1.0,GUNNERS LAKE VILLAGE,945,1039,1986,18,291,85,Active,,,https://www.redfin.com/MD/Germantown/19204-Misty-Meadow-Ter-20874/home/10833223,BRIGHT MLS,MDMC2023336,N,Y,39.169832,-77.260974
Redfin Data,,Townhouse,18469 Mateny Rd,Germantown,MD,20874,449900,3,3.0,Germantown,1868,1557,2015,4,241,105,Pre On-Market,,,https://www.redfin.com/MD/Germantown/18469-Mateny-Rd-20874/home/85694965,Coming Soon,79014,N,Y,39.158021,-77.2660516
PAST SALE,August-7-2019,Townhouse,12631 Red Pepper Ct,Germantown,MD,20874,257500,3,2.5,GERMANTOWN PARK,1392,2000,1974,851,185,150,Sold,,,https://www.redfin.com/MD/Germantown/12631-Red-Pepper-Ct-20874/home/10765339,BRIGHT MLS,MDMC653634,N,Y,39.160241,-77.262553
PAST SALE,March-4-2021,Townhouse,19349 Hottinger Cir,Germantown,MD,20874,300000,3,2.5,GUNNERS VIEW,1188,1650,1984,276,253,90,Sold,,,https://www.redfin.com/MD/Germantown/19349-Hottinger-Cir-20874/home/10827303,BRIGHT MLS,MDMC741610,N,Y,39.17406,-77.252488
PAST SALE,October-26-2020,Condo/Co-op,13401 Fountain Clb #14101,Germantown,MD,20874,210000,2,2.0,FOUNTAIN HILLS CODM,1183,,1997,405,178,359,Sold,,,https://www.redfin.com/MD/Germantown/13401-Fountain-Club-Dr-20874/unit-14101/home/11182454,BRIGHT MLS,MDMC723938,N,Y,39.16196,-77.2756588
PAST SALE,January-2-2020,Townhouse,18943 Pine Ridge Ln Unit 9-6,Germantown,MD,20874,241000,3,3.0,NORTH CREEK,1920,,1978,703,126,176,Sold,,,https://www.redfin.com/MD/Germantown/18943-Pine-Ridge-Ln-20874/unit-9-6/home/10792007,BRIGHT MLS,MDMC678538,N,Y,39.165708,-77.2706876
PAST SALE,September-11-2020,Townhouse,12730 Longford Glen Dr,Germantown,MD,20874,425000,4,3.5,SENECA HILL,1900,2150,2015,450,224,105,Sold,,,https://www.redfin.com/MD/Germantown/12730-Longford-Glen-Dr-20874/home/85694950,BRIGHT MLS,MDMC719496,N,Y,39.1576267,-77.2643936
