SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,410 Mill St E,Landis,NC,28088,225000,2,1.0,Landis,1172,13503,1949,25,192,,Active,,,https://www.redfin.com/NC/Landis/410-E-Mill-St-28088/home/44272865,CANOPYMLS,3805165,N,Y,35.5431519,-80.6079518
MLS Listing,,Single Family Residential,211 E Ridge Ave,Landis,NC,28088,89500,,0.5,Landis,,5662,1947,34,,,Active,,,https://www.redfin.com/NC/Landis/211-E-Ridge-Ave-28088/home/177017859,CANOPYMLS,3801696,N,Y,35.54441,-80.6110311
MLS Listing,,Single Family Residential,413 Landis Oak Way,Landis,NC,28088,399900,4,3.5,The Oak Of Landis,3196,7405,2012,61,125,25,Active,,,https://www.redfin.com/NC/Landis/413-Landis-Oak-Way-28088/home/44572524,CANOPYMLS,3791764,N,Y,35.5521783,-80.5944187
MLS Listing,,Single Family Residential,712 W Rice St #5,Landis,NC,28088,270000,3,2.0,Landis,1560,16988,1960,63,173,,Active,,,https://www.redfin.com/NC/Landis/712-W-Rice-St-28088/unit-5/home/177144349,CANOPYMLS,3792422,N,Y,35.5514372,-80.6212876
MLS Listing,,Vacant Land,3015 N Cannon Blvd,Kannapolis,NC,28166,147000,,,,,18730,,186,,,Active,,,https://www.redfin.com/NC/Kannapolis/3015-N-Cannon-Blvd-28083/home/44206634,CANOPYMLS,3656444,N,Y,35.537432,-80.605364
