SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Ranch,2519 Payne Rd,Pocomoke City,MD,21851,2500000,2,2.0,Pocomoke City,1064,1730203,2009,1,2350,,Active,,,https://www.redfin.com/MD/Pocomoke-City/2519-Payne-Rd-21851/home/17449661,BRIGHT MLS,MDWO2003934,N,Y,38.019004,-75.525909
MLS Listing,,Single Family Residential,3 2nd St,Pocomoke City,MD,21851,194900,3,1.5,Pocomoke City,2110,10508,1920,1,92,,Active,,,https://www.redfin.com/MD/Pocomoke-City/3-2nd-St-21851/home/15478616,BRIGHT MLS,MDWO2003950,N,Y,38.0763482,-75.5664015
MLS Listing,,Single Family Residential,503 Walnut St,Pocomoke City,MD,21851,184900,3,2.0,POCOMOKE,1052,9130,1939,1,176,,Active,,,https://www.redfin.com/MD/Pocomoke-City/503-Walnut-St-21851/home/15476999,BRIGHT MLS,MDWO2003946,N,Y,38.071621,-75.5654919
MLS Listing,,Single Family Residential,34285 Somerset Rd,Pocomoke,MD,21851,625000,3,2.5,RIVER BEND ESTATES,2048,65776,1987,1,305,,Active,,,https://www.redfin.com/MD/Pocomoke-City/34285-Somerset-Rd-21851/home/15330762,BRIGHT MLS,MDSO2001000,N,Y,38.0891535,-75.5648786
MLS Listing,,Single Family Residential,3647 Brantley,Pocomoke City,MD,21851,106400,3,1.0,Pocomoke City,1100,55756,1976,2,97,,Active,,,https://www.redfin.com/MD/Pocomoke-City/3647-Brantley-Rd-21851/home/15479178,BRIGHT MLS,MDWO2003926,N,Y,38.0298569,-75.4835132
MLS Listing,,Single Family Residential,208 Linden Ave,Pocomoke City,MD,21851,140000,3,1.5,Pocomoke City,1736,6634,1925,2,81,,Active,,,https://www.redfin.com/MD/Pocomoke-City/208-Linden-Ave-21851/home/15478956,BRIGHT MLS,MDWO2003316,N,Y,38.0759051,-75.5654465
MLS Listing,,Single Family Residential,308 Winter Quarters Dr,Pocomoke City,MD,21851,199000,2,1.5,Winter Quarters,1632,17400,1940,2,122,,Active,,,https://www.redfin.com/MD/Pocomoke-City/308-Winter-Quarters-Dr-21851/home/15476524,BRIGHT MLS,MDWO2003938,N,Y,38.0803234,-75.5619444
MLS Listing,,Single Family Residential,1912 Unionville,Pocomoke City,MD,21851,109900,3,2.0,Pocomoke City,728,32130,1950,8,151,,Active,,,https://www.redfin.com/MD/Pocomoke-City/1912-Unionville-Rd-21851/home/15478928,BRIGHT MLS,MDWO2003770,N,Y,38.0655035,-75.5803219
MLS Listing,,Single Family Residential,902 Walnut St,Pocomoke City,MD,21851,155000,4,2.0,Pocomoke City,1610,7612,1950,9,96,,Active,,,https://www.redfin.com/MD/Pocomoke-City/902-Walnut-St-21851/home/15478396,BRIGHT MLS,MDWO2003768,N,Y,38.0683842,-75.5610461
MLS Listing,,Vacant Land,103 Oak St,Pocomoke City,MD,21851,14900,,,CLARKE PROP,,12000,,20,,,Active,,,https://www.redfin.com/MD/Pocomoke-City/103-Oak-St-21851/home/17449487,BRIGHT MLS,MDWO2003242,N,Y,38.0718844,-75.5717751
MLS Listing,,Ranch,34518 Worth,Pocomoke,MD,21851,182500,3,2.0,Pocomoke,924,457380,1985,23,198,,Active,,,https://www.redfin.com/MD/Pocomoke-City/34518-Worth-Rd-21851/home/165909481,BRIGHT MLS,MDSO2000946,N,Y,38.098715,-75.557332
MLS Listing,,Single Family Residential,34281 Somerset Rd,Pocomoke,MD,21851,449000,3,2.0,RIVER BEND ESTATES,1792,35719,1981,23,251,,Active,,,https://www.redfin.com/MD/Pocomoke-City/34281-Somerset-Rd-21851/home/15330763,BRIGHT MLS,MDSO2000942,N,Y,38.0891658,-75.5655574
MLS Listing,,Single Family Residential,616 Hillcrest Dr,Pocomoke City,MD,21851,219990,3,2.0,Woodland Manor,1232,11551,2013,24,179,6,Active,,,https://www.redfin.com/MD/Pocomoke-City/616-Hillcrest-Dr-21851/home/23451939,BRIGHT MLS,MDWO2003558,N,Y,38.058697,-75.5500907
MLS Listing,,Vacant Land,0 2nd St,Pocomoke City,MD,21851,785000,,,Pocomoke City,,1209835,,32,,,Active,,,https://www.redfin.com/MD/Pocomoke-City/201-2nd-St-21851/unit-2-UNIT-201/home/160359837,BRIGHT MLS,MDWO2003140,N,Y,38.0750522,-75.5680412
MLS Listing,,Single Family Residential,32363 Greenfield Ct,Pocomoke,MD,21851,828000,4,2.5,Pocomoke,3078,94961,1999,33,269,,Active,,,https://www.redfin.com/MD/Pocomoke-City/32363-Greenfield-Ct-21851/home/15330533,BRIGHT MLS,MDSO2000912,N,Y,38.054606,-75.632474
MLS Listing,,Single Family Residential,300 Winter Quarters,Pocomoke City,MD,21851,199900,3,1.5,WINTER QUARTERS,1500,10890,1950,44,133,,Active,,,https://www.redfin.com/MD/Pocomoke-City/300-Winter-Quarters-Dr-21851/home/15478209,BRIGHT MLS,MDWO2003158,N,Y,38.0795128,-75.5625811
MLS Listing,,Vacant Land,0 Wallace Taylor,Pocomoke,MD,21851,30000,,,Pocomoke,,87120,,50,,,Active,,,https://www.redfin.com/MD/POCOMOKE-CITY/WALLACE-TAYLOR-RD-21851/home/17422900,BRIGHT MLS,MDSO2000826,N,Y,38.109418,-75.59364
MLS Listing,,Single Family Residential,520 Ocean Hwy,Pocomoke City,MD,21851,100000,3,1.0,Pocomoke City,1122,109336,1930,54,89,,Active,,,https://www.redfin.com/MD/Pocomoke-City/520-Ocean-Hwy-21851/home/17449671,BRIGHT MLS,MDWO2000221,N,Y,38.016691,-75.54376
MLS Listing,,Single Family Residential,1510 Cedar St,Pocomoke City,MD,21851,234700,3,2.0,Pocomoke City,1248,36000,1973,68,188,,Active,,,https://www.redfin.com/MD/Pocomoke-City/1510-Cedar-St-21851/home/15477991,BRIGHT MLS,MDWO2002804,N,Y,38.0619573,-75.5532428
