SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18725 Nc Highway 109,Denton,NC,27239,180000,3,1.0,,,,1951,1,,,Active,,,https://www.redfin.com/NC/Denton/18725-NC-109-27239/home/148115777,Triad MLS,1050985,N,Y,35.6215528,-80.1059756
MLS Listing,,Ranch,00 Graham Davis Rd,Denton,NC,27239,150000,,,Denton,,,,2,,,Active,,,https://www.redfin.com/NC/DENTON/GRAHAM-DAVIS-RD-27239/home/163383360,Triad MLS,1051164,N,Y,35.521513,-80.057391
MLS Listing,,Single Family Residential,lot 14 Overlook Dr,Denton,NC,27230,64900,,,Uwharrie Ridge,,,,5,,,Active,,,https://www.redfin.com/NC/Denton/lot-14-Overlook-DR-27230/home/177385547,Triad MLS,1050872,N,Y,35.674314,-79.972025
MLS Listing,,Vacant Land,246 Healing Springs Dr,Denton,NC,27239,39900,,,The Springs At High Rock Lake,,,,18,,,Active,,,https://www.redfin.com/NC/Denton/246-Healing-Springs-Dr-27239/home/94980411,Triad MLS,1049000,N,Y,35.635374,-80.186213
MLS Listing,,Single Family Residential,852 Surratt Dr,Denton,NC,27239,249900,3,2.0,Denton,1851,152024,1998,20,135,,Active,,,https://www.redfin.com/NC/Denton/852-Surratt-Rd-27239/home/94997274,CANOPYMLS,3806303,N,Y,35.5692072,-80.1390335
MLS Listing,,Vacant Land,2818 Sierra Trace Rd,Denton,NC,27239,8750,,,,,88100,,33,,,Active,,,https://www.redfin.com/NC/Denton/2818-Sierra-Trace-Rd-27239/unit-2818-Sierra-Trace-Road/home/177047182,AMLSNC,121435,N,Y,35.628529,-80.184907
MLS Listing,,Single Family Residential,2818 Sierra Trace Rd,Denton,NC,27239,8750,,,The Springs At High Rock Lake,,,,33,,78,Active,,,https://www.redfin.com/NC/Denton/2818-Sierra-Trace-Rd-27239/home/94976400,Triad MLS,1047602,N,Y,35.628529,-80.184907
MLS Listing,,Single Family Residential,7030 Nc Hwy 49 Hwy,Denton,NC,27239,775000,3,3.5,Denton,2880,4332477,1974,34,269,,Active,,,https://www.redfin.com/NC/Denton/7030-NC-49-27239/home/94790169,CANOPYMLS,3801505,N,Y,35.6259658,-80.0149759
MLS Listing,,Vacant Land,2057 Rocky Cove Ln #28,Denton,NC,27239,29900,3,,The Springs At High Rock,,89297,,37,,78,Active,,,https://www.redfin.com/NC/Denton/2057-Rocky-Cove-Ln-27239/unit-28/home/176995594,CANOPYMLS,3801074,N,Y,35.612172,-80.224051
MLS Listing,,Single Family Residential,2057 Rocky Cove Ln,Denton,NC,27239,29900,,,The Springs At High Rock Lake,,,,37,,78,Active,,,https://www.redfin.com/NC/Denton/2057-Rocky-Cove-Ln-27239/home/94996870,Triad MLS,1047655,N,Y,35.612172,-80.224051
MLS Listing,,Single Family Residential,282 Mountain Shore Dr,Denton,NC,27239,729900,3,3.5,Mountain Shore,,,1998,45,,10,Active,,,https://www.redfin.com/NC/Denton/282-Mountain-Shore-Dr-27239/home/95024063,Triad MLS,1046588,N,Y,35.6406906,-80.1855026
