SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,14976 Belle Ami #55,Laurel,MD,20707,249900,3,2.5,BELLE AMI CONDO-PHASE 2>,1908,,1975,60,131,182,Active,,,https://www.redfin.com/MD/Laurel/14976-Belle-Ami-Dr-20707/unit-55/home/10737425,BRIGHT MLS,MDPG2014158,N,Y,39.0957027,-76.8713176
PAST SALE,May-27-2021,Condo/Co-op,7806 Spinnaker Rd #526,Laurel,MD,20707,220000,2,1.0,BRIDGEPORT CONDO-PHASES,830,,1988,192,265,290,Sold,,,https://www.redfin.com/MD/Laurel/7806-Spinnaker-Rd-20707/unit-526/home/10719466,BRIGHT MLS,MDPG601790,N,Y,39.088185,-76.866247
PAST SALE,July-17-2020,Condo/Co-op,15615 Dorset Rd #103,Laurel,MD,20707,155400,2,2.0,BROOKMILL CONDO,1072,,1982,506,145,325,Sold,,,https://www.redfin.com/MD/Laurel/15615-Dorset-Rd-20707/unit-103/home/10728855,BRIGHT MLS,MDPG569498,N,Y,39.1052372,-76.8774474
PAST SALE,November-30-2020,Single Family Residential,1043 Marton St,Laurel,MD,20707,299900,3,2.0,FAIRLAWN,958,6000,1951,370,313,,Sold,,,https://www.redfin.com/MD/Laurel/1043-Marton-St-20707/home/10713020,BRIGHT MLS,MDPG581972,N,Y,39.0987687,-76.8648667
PAST SALE,July-15-2021,Single Family Residential,7702 Macgregor Way,Laurel,MD,20707,727000,5,4.5,THE VILLAGES AT WELLINGT,3576,10847,2006,143,203,46,Sold,,,https://www.redfin.com/MD/Laurel/7702-MacGregor-Way-20707/home/11151856,BRIGHT MLS,MDPG608828,N,Y,39.0836222,-76.8725015
PAST SALE,,Condo/Co-op,1030 West Ct #15,Laurel,MD,20707,264000,,,,1201,,1992,,220,,,,,https://www.redfin.com/MD/Laurel/1030-West-Ct-20707/unit-15/home/10735414,,,N,Y,39.1037323,-76.8625433
PAST SALE,,Single Family Residential,6640 Park Hall Dr,Laurel,MD,20707,495000,,2.5,,2352,10991,1975,,210,,,,,https://www.redfin.com/MD/Laurel/6640-Park-Hall-Dr-20707/home/10732377,,,N,Y,39.1081555,-76.890359
PAST SALE,July-29-2021,Single Family Residential,15620 Bond Mill Rd,Laurel,MD,20707,425000,3,2.0,LAUREL,1404,24319,1955,129,303,,Sold,,,https://www.redfin.com/MD/Laurel/15620-Bond-Mill-Rd-20707/home/10732539,BRIGHT MLS,MDPG2001128,N,Y,39.1052884,-76.8978345
PAST SALE,July-15-2020,Condo/Co-op,15427 Arbory Way #199,Laurel,MD,20707,204000,2,1.0,ARBORY CONDO PHASE SIX-R,1155,,1978,508,177,115,Sold,,,https://www.redfin.com/MD/Laurel/15427-Arbory-Way-20707/unit-199/home/53021532,BRIGHT MLS,MDPG569382,N,Y,39.1008296,-76.8721464
PAST SALE,November-4-2020,Condo/Co-op,14104 Bowsprit Ln #1201,Laurel,MD,20707,215000,2,2.0,THE VISTAS 2 AT LAUREL L,858,,1989,396,251,286,Sold,,,https://www.redfin.com/MD/Laurel/14104-Bowsprit-Ln-20707/unit-1201/home/10718499,BRIGHT MLS,MDPG579658,N,Y,39.086114,-76.8650831
PAST SALE,November-9-2021,Single Family Residential,1016 Montrose Ave,Laurel,MD,20707,370000,4,3.0,FAIRLAWN,1404,6000,1959,26,264,,Sold,,,https://www.redfin.com/MD/Laurel/1016-Montrose-Ave-20707/home/10710258,BRIGHT MLS,MDPG2009872,N,Y,39.1011047,-76.8653622
PAST SALE,September-15-2021,Townhouse,15041 Cherrywood Dr Unit 5Q,Laurel,MD,20707,270000,3,2.5,CHERRYWOOD CONDO PHASE I,2000,,1980,81,135,192,Sold,,,https://www.redfin.com/MD/Laurel/15041-Cherrywood-Dr-20707/unit-5Q/home/10734885,BRIGHT MLS,MDPG609000,N,Y,39.097101,-76.876489
PAST SALE,December-12-2019,Townhouse,14524 Hampstead Way,Laurel,MD,20707,478000,3,3.5,FAIRLAND PARK,2680,1980,2015,724,178,,Sold,,,https://www.redfin.com/MD/Laurel/14524-Hampstead-Way-20707/home/52905306,BRIGHT MLS,MDPG546060,N,Y,39.0879948,-76.9190293
PAST SALE,May-26-2020,Townhouse,8216 Londonderry Ct,Laurel,MD,20707,299000,3,2.5,ASHFORD PLAT 1,2052,1600,1986,558,146,74,Sold,,,https://www.redfin.com/MD/Laurel/8216-Londonderry-Ct-20707/home/10723072,BRIGHT MLS,MDPG566212,N,Y,39.096153,-76.863128
PAST SALE,October-28-2019,Condo/Co-op,7655 E Arbory Ct #276,Laurel,MD,20707,250000,3,2.5,ARBORY CONDO PHASE 15,1278,1929,1981,769,196,220,Sold,,,https://www.redfin.com/MD/Laurel/7655-E-Arbory-Ct-20707/unit-276/home/10725593,BRIGHT MLS,MDPG544524,N,Y,39.099566,-76.8743257
PAST SALE,April-27-2021,Single Family Residential,14600 Farnham Ln,Laurel,MD,20707,590500,4,3.5,THE VILLAGES AT WELLINGT,2600,13643,2003,222,227,42,Sold,,,https://www.redfin.com/MD/Laurel/14600-Farnham-Ln-20707/home/10741857,BRIGHT MLS,MDPG600856,N,Y,39.0924229,-76.8818021
PAST SALE,November-4-2020,Townhouse,7671 E Arbory Ct #234,Laurel,MD,20707,249000,3,1.5,ARBORY CONDO-PHASE 9>,1288,,1978,396,193,230,Sold,,,https://www.redfin.com/MD/Laurel/7671-E-Arbory-Ct-20707/unit-234/home/10725447,BRIGHT MLS,MDPG579238,N,Y,39.0987225,-76.8737975
PAST SALE,January-17-2019,Townhouse,14530 Mayfair Dr,Laurel,MD,20707,310000,3,3.5,MAYFAIR-PLAT ONE,1562,2420,1985,1053,198,55,Sold,,,https://www.redfin.com/MD/Laurel/14530-Mayfair-Dr-20707/home/10716404,BRIGHT MLS,MDPG127016,N,Y,39.089566,-76.88555
PAST SALE,September-20-2019,Single Family Residential,13903 Shannon Ave,Laurel,MD,20707,409000,4,3.5,LAUREL LAKES,2100,5000,1987,807,195,,Sold,,,https://www.redfin.com/MD/Laurel/13903-Shannon-Ave-20707/home/10713414,BRIGHT MLS,MDPG533414,N,Y,39.0829162,-76.8713979
PAST SALE,October-22-2019,Single Family Residential,7113 Carriage Hill Dr,Laurel,MD,20707,374000,4,3.0,CARRIAGE HILL,1398,5025,1986,775,268,,Sold,,,https://www.redfin.com/MD/Laurel/7113-Carriage-Hill-Dr-20707/home/10736132,BRIGHT MLS,MDPG541392,N,Y,39.104497,-76.8838738
PAST SALE,July-16-2021,Single Family Residential,342 Laurel Ave,Laurel,MD,20707,359000,2,2.5,LAUREL,1352,10080,1914,142,266,,Sold,,,https://www.redfin.com/MD/Laurel/342-Laurel-Ave-20707/home/10713035,BRIGHT MLS,MDPG608462,N,Y,39.1028149,-76.8501478
PAST SALE,September-8-2021,Single Family Residential,6606 Carleton Ct,Laurel,MD,20707,450000,5,3.0,MCCAHILL ESTATES-PLAT 1>,1967,16209,1967,88,229,,Sold,,,https://www.redfin.com/MD/Laurel/6606-Carleton-Ct-20707/home/10734554,BRIGHT MLS,MDPG2005736,N,Y,39.1148342,-76.8915974
PAST SALE,April-26-2019,Townhouse,7710 Cypress St,Laurel,MD,20707,332500,3,3.0,LAUREL LAKES PLAT 2,1846,1522,1986,954,180,32,Sold,,,https://www.redfin.com/MD/Laurel/7710-Cypress-St-20707/home/10718095,BRIGHT MLS,MDPG505050,N,Y,39.084594,-76.870734
