SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,140 Overbrook Rd,Baltimore,MD,21212,370000,3,1.5,RODGERS FORGE,1616,3744,1952,5,229,,Active,December-5-2021 01:00 PM,December-5-2021 03:00 PM,https://www.redfin.com/MD/Baltimore/140-Overbrook-Rd-21212/home/9636353,BRIGHT MLS,MDBC2015908,N,Y,39.3759095,-76.6153449
MLS Listing,,Single Family Residential,305 Woodbourne Ave,Baltimore,MD,21212,378000,3,2.5,Ward 27,1780,6608,1941,17,212,17,Active,December-5-2021 08:00 AM,December-5-2021 08:00 PM,https://www.redfin.com/MD/Baltimore/305-Woodbourne-Ave-21212/home/11152761,BRIGHT MLS,MDBA2018188,N,Y,39.3546018,-76.6113728
MLS Listing,,Single Family Residential,7028 Bellona Ave,Baltimore,MD,21212,529000,3,2.5,WOODBROOK,2491,10947,1950,68,212,,Active,,,https://www.redfin.com/MD/Baltimore/7028-Bellona-Ave-21212/home/9672495,BRIGHT MLS,MDBC2010594,N,Y,39.3815835,-76.6263616
PAST SALE,,Single Family Residential,348 Broadmoor Rd,Baltimore,MD,21212,396550,,3.5,,2238,7605,1940,,177,,,,,https://www.redfin.com/MD/Baltimore/348-Broadmoor-Rd-21212/home/11152596,,,N,Y,39.356366,-76.6118242
PAST SALE,,Condo/Co-op,317 Homeland Southway Unit 3C,Baltimore,MD,21212,134900,,,,756,,,,178,,,,,https://www.redfin.com/MD/Baltimore/317-Homeland-Southway-21212/unit-3C/home/11208068,,,N,Y,39.3536047,-76.6154597
PAST SALE,May-2-2019,Townhouse,146 Brandon Rd,Baltimore,MD,21212,349000,4,2.0,RODGERS FORGE,1545,1938,1954,948,226,,Sold,,,https://www.redfin.com/MD/Baltimore/146-Brandon-Rd-21212/home/9651538,BRIGHT MLS,MDBC431646,N,Y,39.3828101,-76.6184545
PAST SALE,July-30-2020,Townhouse,216 Brandon Rd,Baltimore,MD,21212,300000,3,1.5,RODGERS FORGE,1451,1938,1955,493,207,,Sold,,,https://www.redfin.com/MD/Baltimore/216-Brandon-Rd-21212/home/9650199,BRIGHT MLS,MDBC492030,N,Y,39.383958,-76.6164375
PAST SALE,May-8-2019,Townhouse,121 Stanmore Rd,Baltimore,MD,21212,322000,3,2.0,RODGERS FORGE,1555,3978,1953,942,207,,Sold,,,https://www.redfin.com/MD/Baltimore/121-Stanmore-Rd-21212/home/9631749,BRIGHT MLS,MDBC435398,N,Y,39.3820818,-76.6195744
PAST SALE,April-2-2021,Townhouse,13 Regester Ave,Baltimore,MD,21212,360000,3,2.0,RODGERS FORGE,1600,2900,1951,247,225,,Sold,,,https://www.redfin.com/MD/Baltimore/13-Regester-Ave-21212/home/9653847,BRIGHT MLS,MDBC519646,N,Y,39.3803803,-76.6159878
PAST SALE,August-9-2021,Single Family Residential,309 Broadmoor Rd,Baltimore,MD,21212,575000,4,3.5,Ward 27,1780,10110,1938,118,323,21,Sold,,,https://www.redfin.com/MD/Baltimore/309-Broadmoor-Rd-21212/home/11152662,BRIGHT MLS,MDBA2000498,N,Y,39.3554985,-76.6146225
