SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-15-2020,Single Family Residential,1036 Oakwood Manor Dr,Sandy Spring,MD,20860,865000,5,4.5,ORCHARDS OF SANDY SPRING,5508,42041,2013,569,157,130,Sold,,,https://www.redfin.com/MD/Sandy-Spring/1036-Oakwood-Manor-Dr-20860/home/40017845,BRIGHT MLS,MDMC702246,N,Y,39.1550702,-77.0269898
PAST SALE,June-5-2019,Single Family Residential,17526 Ashton Forest Ter,Sandy Spring,MD,20860,1070000,5,4.5,BANCROFT,6156,26508,2004,914,174,350,Sold,,,https://www.redfin.com/MD/Sandy-Spring/17526-Ashton-Forest-Ter-20860/home/11192642,BRIGHT MLS,MDMC622236,N,Y,39.1471746,-77.0315736
PAST SALE,June-18-2021,Single Family Residential,1414 Meadowsweet Dr,Sandy Spring,MD,20860,1005100,5,5.5,MEADOWSWEET,7128,17623,2006,170,141,109,Sold,,,https://www.redfin.com/MD/Sandy-Spring/1414-Meadowsweet-Dr-20860/home/11758843,BRIGHT MLS,MDMC752028,N,Y,39.1509335,-77.0322933
PAST SALE,October-17-2019,Single Family Residential,18601 Brooke Rd,Sandy Spring,MD,20860,435000,4,2.0,OLNEY OUT RES (3),1604,43560,1970,780,271,,Sold,,,https://www.redfin.com/MD/Sandy-Spring/18601-Brooke-Rd-20860/home/10703382,BRIGHT MLS,MDMC678502,N,Y,39.1610823,-77.0276796
PAST SALE,September-30-2021,Single Family Residential,17810 Auburn Village Dr,Sandy Spring,MD,20860,856856,5,4.5,AUBURN VILLAGE AT SANDY,4467,9816,2005,66,192,200,Sold,,,https://www.redfin.com/MD/Sandy-Spring/17810-Auburn-Village-Dr-20860/home/11205301,BRIGHT MLS,MDMC755698,N,Y,39.1481888,-77.0240838
PAST SALE,September-30-2021,Townhouse,1028 Mutual Pl,Sandy Spring,MD,20860,665000,3,3.5,OLNEY OUTSIDE**,3300,2328,2018,66,202,127,Sold,,,https://www.redfin.com/MD/Sandy-Spring/1028-Mutual-Pl-20860/home/146056753,BRIGHT MLS,MDMC2012588,N,Y,39.148757,-77.02799
MLS Listing,,Single Family Residential,18600 Brooke Rd,Sandy Spring,MD,20860,1785000,4,3.0,BROOKE MEADOW,2240,261796,2009,37,797,,Active,,,https://www.redfin.com/MD/Sandy-Spring/18600-Brooke-Rd-20860/home/10734008,BRIGHT MLS,MDMC2020988,N,Y,39.164002,-77.027281
MLS Listing,,Single Family Residential,208 Rosalie Cv,Silver Spring,MD,20905,1060000,5,4.5,ASHTON PRESERVE,4088,18469,2002,58,259,155,Active,December-5-2021 12:00 PM,December-5-2021 02:00 PM,https://www.redfin.com/MD/Silver-Spring/208-Rosalie-Cove-Ct-20905/home/11167108,BRIGHT MLS,MDMC2018446,N,Y,39.1330277,-77.0195067
MLS Listing,,Single Family Residential,17734 Norwood Rd,Sandy Spring,MD,20860,2580000,16,13.0,OLNEY OUT RES (3),13227,55956,1963,65,195,,Active,,,https://www.redfin.com/MD/Sandy-Spring/17734-Norwood-Rd-20860/home/10703212,BRIGHT MLS,MDMC2018980,N,Y,39.1480212,-77.0298642
MLS Listing,,Vacant Land,Brooke Rd,Sandy Spring,MD,20860,199900,,,OLNEY OUT RES (3),,140263,,236,,,Active,,,https://www.redfin.com/MD/SANDY-SPRING/BROOKE-RD-20860/home/10702631,BRIGHT MLS,MDMC752786,N,Y,39.159374,-77.031506
