SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-27-2021,Single Family Residential,35519 Sarasota St,Round Hill,VA,20141,600000,4,2.5,MOUNTAIN VALLEY ROUND HI,2848,6970,2015,191,211,65,Sold,,,https://www.redfin.com/VA/Round-Hill/35519-Sarasota-St-20141/home/56511826,BRIGHT MLS,VALO435750,N,Y,39.1431534,-77.7758945
PAST SALE,June-30-2020,Single Family Residential,11 New Cut Rd,Round Hill,VA,20141,402000,3,2.5,RIDGES OF ROUND HILL,1568,8712,1995,522,256,,Sold,,,https://www.redfin.com/VA/Round-Hill/11-New-Cut-Rd-20141/home/12030182,BRIGHT MLS,VALO408064,N,Y,39.1314868,-77.7682517
PAST SALE,July-22-2021,Single Family Residential,17668 Marbury St,Round Hill,VA,20141,617000,4,2.5,ROUND HILL LAKE POINT,2316,6534,2015,135,266,65,Sold,,,https://www.redfin.com/VA/Round-Hill/17668-Marbury-St-20141/home/56511838,BRIGHT MLS,VALO439522,N,Y,39.1292183,-77.7597143
PAST SALE,September-20-2019,Single Family Residential,35756 Roundleaf Ct,Round Hill,VA,20141,465000,4,3.5,ROUND HILL,3384,13939,2001,806,137,60,Sold,,,https://www.redfin.com/VA/Round-Hill/35756-Roundleaf-Ct-20141/home/12047985,BRIGHT MLS,VALO391862,N,Y,39.143718,-77.7676259
PAST SALE,May-21-2021,Single Family Residential,17326 Arrowood Pl,Round Hill,VA,20141,577500,4,3.5,ROUND HILL,2450,8712,1999,197,236,65,Sold,,,https://www.redfin.com/VA/Round-Hill/17326-Arrowood-Pl-20141/home/12025618,BRIGHT MLS,VALO435524,N,Y,39.1385492,-77.7606306
PAST SALE,July-22-2019,Single Family Residential,16755 Evening Star Dr,Round Hill,VA,20141,518000,4,3.5,MOUNTAIN VALLEY ROUND HI,3489,6534,2016,866,148,65,Sold,,,https://www.redfin.com/VA/Round-Hill/16755-Evening-Star-Dr-20141/home/56511822,BRIGHT MLS,VALO380034,N,Y,39.1444192,-77.7768778
PAST SALE,September-6-2019,Single Family Residential,4 High St,Round Hill,VA,20141,525000,5,5.0,TOWN OF ROUND HILL,2164,13939,1933,820,243,,Sold,,,https://www.redfin.com/VA/Round-Hill/4-High-St-20141/home/12030935,BRIGHT MLS,VALO390254,N,Y,39.1348249,-77.770263
PAST SALE,April-26-2021,Single Family Residential,17273 Fontaine Ct,Round Hill,VA,20141,917000,4,4.5,HAMLETS OF BLUE RIDGE,5480,155945,2009,222,167,,Sold,,,https://www.redfin.com/VA/Round-Hill/17273-Fontaine-Ct-20141/home/12077921,BRIGHT MLS,VALO432818,N,Y,39.1403337,-77.7950218
MLS Listing,,Single Family Residential,35906 Quantum Pl,Round Hill,VA,20141,834990,4,2.5,WEST LAKE ROUND HILL,2932,10890,2022,11,285,65,Active,,,https://www.redfin.com/VA/Round-Hill/35906-Quantum-PL-20141/home/177315679,BRIGHT MLS,VALO2012210,N,Y,39.13955,-77.76747
MLS Listing,,Single Family Residential,2 Early Ave,Round Hill,VA,20141,449900,4,2.0,HILLWOOD ESTATES,2194,20909,1965,30,205,,Active,,,https://www.redfin.com/VA/Round-Hill/2-Early-Ave-20141/home/12031346,BRIGHT MLS,VALO2011210,N,Y,39.1376421,-77.7722743
