SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9089 Carver School Ln,Rapidan,VA,22733,250000,3,2.0,Rapidan,1500,43996,1974,52,167,,Active,,,https://www.redfin.com/VA/Rapidan/9089-Carver-School-Ln-22733/home/15515320,BRIGHT MLS,VACU2000011,N,Y,38.3963938,-78.0797458
MLS Listing,,Single Family Residential,19184 Mt Sharon Rd,Orange,VA,22960,13985000,8,9.0,JACOBS,10200,24437595,1937,185,1371,,Active,,,https://www.redfin.com/VA/Orange/19184-Mount-Sharon-Ln-22960/home/170500038,BRIGHT MLS,VAOR139508,N,Y,38.2671023,-78.0380579
MLS Listing,,Single Family Residential,Lot 9 Clifton Rd,Rapidan,VA,22733,334900,3,2.0,CLIFTON,1288,87120,2021,215,260,,Active,,,https://www.redfin.com/VA/Rapidan/Lot-9-Clifton-Rd-22733/home/175055628,BRIGHT MLS,VAOR139214,N,Y,38.28137992,-78.02693087
MLS Listing,,Vacant Land,0 Moormont Rd,Orange,VA,22960,185500,,,Orange,,916502,,515,,,Active,,,https://www.redfin.com/VA/Orange/0-Moormont-RD-22960/home/172398335,BRIGHT MLS,VAOR137012,N,Y,38.30382369,-78.00936481
PAST SALE,September-9-2019,Single Family Residential,7311 Greenwood Ln,Rapidan,VA,22733,205000,3,2.0,Rapidan,1404,43560,2008,818,146,,Sold,,,https://www.redfin.com/VA/Rapidan/7311-Greenwood-Ln-22733/home/15498718,BRIGHT MLS,1009919648,N,Y,38.3677762,-78.107152
PAST SALE,June-7-2019,Single Family Residential,7291 Greenwood Ln,Rapidan,VA,22733,299900,4,3.0,Rapidan,2199,195149,1973,912,136,,Sold,,,https://www.redfin.com/VA/Rapidan/7291-Greenwood-Ln-22733/home/15509701,BRIGHT MLS,VACU134710,N,Y,38.36826,-78.1083105
PAST SALE,April-2-2021,Single Family Residential,7331 Greenwood Ln,Rapidan,VA,22733,325000,3,2.0,ROBINSON RIVER,1892,117612,1969,247,172,,Sold,,,https://www.redfin.com/VA/Rapidan/7331-Greenwood-Ln-22733/home/14742104,BRIGHT MLS,VACU143704,N,Y,38.3675049,-78.1064836
PAST SALE,April-10-2020,Single Family Residential,7793 White Oak Rd,Rapidan,VA,22733,510700,5,3.5,Rapidan,3415,411642,2001,604,150,,Sold,,,https://www.redfin.com/VA/Rapidan/7793-White-Oak-Rd-22733/home/15503201,BRIGHT MLS,VACU140738,N,Y,38.3564328,-78.1124542
PAST SALE,July-13-2021,Single Family Residential,24474 Oak Forest Dr,Rapidan,VA,22733,367000,4,2.5,FOREST VIEW,1986,43996,2004,145,185,,Sold,,,https://www.redfin.com/VA/Rapidan/24474-Oak-Forest-Dr-22733/home/15506172,BRIGHT MLS,VACU144794,N,Y,38.3642659,-78.1112957
PAST SALE,,Single Family Residential,7307 Crockett Ave,Rapidan,VA,22733,335000,4,2.5,,1991,87556,2003,,168,,,,,https://www.redfin.com/VA/Rapidan/7307-Crockett-Ave-22733/home/15505520,,,N,Y,38.3629332,-78.1089788
PAST SALE,,Single Family Residential,24258 Somerville Rd,Mitchells,VA,22729,269000,2,1.0,,1160,775368,1940,,232,,,,,https://www.redfin.com/VA/Mitchells/24258-Somerville-Rd-22729/home/15508444,,,N,Y,38.3689404,-77.9998334
PAST SALE,March-22-2021,Vacant Land,25000 Somerville Rd,Mitchells,VA,22729,105000,,,Mitchells,,455202,,258,,,Sold,,,https://www.redfin.com/VA/Mitchells/25000-Somerville-Rd-22729/home/15513649,BRIGHT MLS,VACU143242,N,Y,38.3615284,-77.9928349
PAST SALE,March-20-2020,Single Family Residential,7279 Crockett Ave,Rapidan,VA,22733,289000,3,3.0,FOREST VIEW,2708,75794,2004,625,107,,Sold,,,https://www.redfin.com/VA/Rapidan/7279-Crockett-Ave-22733/home/15505519,BRIGHT MLS,VACU140346,N,Y,38.3633805,-78.1097809
PAST SALE,December-23-2019,Single Family Residential,8368B Horseshoe Rd,Rapidan,VA,22733,1800000,5,5.5,,12500,2613600,1852,713,144,,Sold,,,https://www.redfin.com/VA/Rapidan/8368-Horseshoe-Rd-22733/home/109270868,CVRMLS,1906928,N,Y,38.3178947,-78.0888012
