SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-30-2019,Single Family Residential,1508 S Brookhaven Dr,Mclean,VA,22101,960000,4,3.0,BROOKHAVEN,2178,25567,1951,859,441,,Sold,,,https://www.redfin.com/VA/McLean/1508-Brookhaven-Dr-22101/home/9411041,BRIGHT MLS,VAFX1053816,N,Y,38.9292263,-77.1637721
PAST SALE,August-14-2020,Single Family Residential,1450 Kirby Rd,Mclean,VA,22101,1830000,5,5.5,CHESTERBROOK,7420,28140,2007,478,247,,Sold,,,https://www.redfin.com/VA/McLean/1450-Kirby-Rd-22101/home/9409070,BRIGHT MLS,VAFX1139458,N,Y,38.9317947,-77.1437977
PAST SALE,October-16-2019,Townhouse,6653 Mclean Dr,Mclean,VA,22101,820000,3,3.5,OLD DOMINION SQUARE SEC,2640,1837,1969,781,311,142,Sold,,,https://www.redfin.com/VA/McLean/6653-McLean-Dr-22101/home/9392369,BRIGHT MLS,VAFX1087552,N,Y,38.9310286,-77.1710238
MLS Listing,,Single Family Residential,1204 Ballantrae,Mclean,VA,22101,2795000,5,5.0,BALLANTRAE FARMS,4256,41689,1981,18,657,,Active,,,https://www.redfin.com/VA/McLean/1204-Ballantrae-Ln-22101/home/9408786,BRIGHT MLS,VAFX2030850,N,Y,38.9416598,-77.1622893
MLS Listing,,Single Family Residential,1414 Kurtz Rd,Mclean,VA,22101,3695000,5,6.0,SALONA VILLAGE,6940,15252,2021,24,532,,Active,December-5-2021 12:00 PM,December-5-2021 02:00 PM,https://www.redfin.com/VA/McLean/1414-Kurtz-Rd-22101/home/9392133,BRIGHT MLS,VAFX2028284,N,Y,38.933202,-77.1702872
MLS Listing,,Single Family Residential,6502 Halls Farm Ln,Mclean,VA,22101,3375000,5,6.5,HALLS MANOR,8450,26317,2022,34,399,150,Active,,,https://www.redfin.com/VA/McLean/6502-Halls-Farm-LN-22101/home/177475721,BRIGHT MLS,VAFX2028642,N,Y,38.92707987,-77.16516887
MLS Listing,,Townhouse,6677 Mclean Dr,Mclean,VA,22101,880000,4,3.0,OLD DOMINION SQUARE SEC,2610,2532,1969,47,337,142,Active,,,https://www.redfin.com/VA/McLean/6677-McLean-Dr-22101/home/9392423,BRIGHT MLS,VAFX2000571,N,Y,38.9309449,-77.1705568
MLS Listing,,Single Family Residential,1306 Ballantrae,Mclean,VA,22101,8500000,6,8.0,BALLANTRAE FARMS,10178,67082,2021,53,835,,Active,,,https://www.redfin.com/VA/McLean/1306-Ballantrae-Ct-22101/home/9407118,BRIGHT MLS,VAFX2001417,N,Y,38.9397546,-77.16261
MLS Listing,,Vacant Land,Lot 118 Ramshorn Pl,Mclean,VA,22101,3500000,,,LANGLEY,,121214,,54,,,Active,,,https://www.redfin.com/VA/McLean/Lot-118-Ramshorn-Pl-22101/home/171978940,BRIGHT MLS,VAFX2001407,N,Y,38.94034,-77.1433
MLS Listing,,Single Family Residential,6228 Cottonwood St,Mclean,VA,22101,2439000,7,7.0,CHESTERBROOK,8300,21780,2022,107,294,,Active,,,https://www.redfin.com/VA/McLean/6228-Cottonwood-St-22101/home/9410964,BRIGHT MLS,VAFX2013278,N,Y,38.9269314,-77.1511003
