SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-29-2021,Single Family Residential,5307 Taylor St,Bladensburg,MD,20710,350000,4,2.0,DECATUR HEIGHTS- ADDN A,1120,4000,1953,310,313,,Sold,,,https://www.redfin.com/MD/Bladensburg/5307-Taylor-St-20710/home/10541412,BRIGHT MLS,MDPG587056,N,Y,38.940395,-76.9281372
PAST SALE,July-15-2021,Single Family Residential,4202 55th Ave,Bladensburg,MD,20710,385000,4,2.0,WASHINGTON SUBURBAN HOME,1653,5000,1941,143,233,,Sold,,,https://www.redfin.com/MD/Bladensburg/4202-55th-Ave-20710/home/10534699,BRIGHT MLS,MDPG608204,N,Y,38.9412891,-76.9222393
PAST SALE,May-29-2019,Single Family Residential,4204 56th Ave,Bladensburg,MD,20710,315000,4,2.0,WASHINGTON SUBURBAN HOME,1191,5061,1941,921,264,,Sold,,,https://www.redfin.com/MD/Bladensburg/4204-56th-Ave-20710/home/10533082,BRIGHT MLS,MDPG431286,N,Y,38.9413071,-76.9213389
PAST SALE,August-13-2021,Townhouse,5409 Doris Ct,Bladensburg,MD,20710,370000,3,2.5,SETON SQUARE,1372,1600,1999,114,270,102,Sold,,,https://www.redfin.com/MD/Bladensburg/5409-Doris-Ct-20710/home/10550508,BRIGHT MLS,MDPG604836,N,Y,38.945625,-76.916076
MLS Listing,,Single Family Residential,5203 Upshur St,Bladensburg,MD,20710,384900,4,2.0,DECATUR HEIGHTS- ADDN A,2016,6000,1935,3,191,,Active,December-5-2021 02:00 PM,December-5-2021 04:00 PM,https://www.redfin.com/MD/Bladensburg/5203-Upshur-St-20710/home/10536136,BRIGHT MLS,MDPG2019900,N,Y,38.9424236,-76.929319
MLS Listing,,Condo/Co-op,5217 Newton St #102,Bladensburg,MD,20710,146000,2,1.0,BLADENWOODS,922,2010,1966,13,158,329,Active,,,https://www.redfin.com/MD/Bladensburg/5217-Newton-St-20710/unit-102/home/23407457,BRIGHT MLS,MDPG2018556,N,Y,38.9356734,-76.9282476
MLS Listing,,Vacant Land,3907 48th St,Bladensburg,MD,20710,160000,,,BLADENSBURG,,14963,,40,,,Active,,,https://www.redfin.com/MD/Bladensburg/3907-48th-St-20710/home/23244309,BRIGHT MLS,MDPG2015192,N,Y,38.938171,-76.935638
PAST SALE,November-8-2021,Condo/Co-op,6011 Emerson St #609,Bladensburg,MD,20710,84000,2,1.0,COUNTRY CLUB TOWERS COND,894,,1966,27,94,470,Sold,,,https://www.redfin.com/MD/Bladensburg/6011-Emerson-St-20710/unit-609/home/10549448,BRIGHT MLS,MDPG2007358,N,Y,38.9488222,-76.9107354
PAST SALE,December-5-2019,Single Family Residential,4202 56th Ave,Bladensburg,MD,20710,326000,5,3.0,WASHINGTON SUBURBAN HOME,2295,5209,1941,731,142,,Sold,,,https://www.redfin.com/MD/Bladensburg/4202-56th-Ave-20710/home/10537845,BRIGHT MLS,MDPG534888,N,Y,38.9411417,-76.9212939
PAST SALE,,Condo/Co-op,5204 Newton St Unit T2,Bladensburg,MD,20710,117000,,,,922,,1966,,127,,,,,https://www.redfin.com/MD/Bladensburg/5204-Newton-St-20710/unit-T2/home/23409989,,,N,Y,38.9365678,-76.9288977
