SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-13-2020,Single Family Residential,4329 Madonna Rd,Street,MD,21154,450000,3,4.0,DEER MEADOWS,5557,877734,1921,387,81,,Sold,,,https://www.redfin.com/MD/Street/4329-Madonna-Rd-21154/home/143411286,BRIGHT MLS,MDHR252116,N,Y,39.651873,-76.491407
PAST SALE,November-8-2019,Single Family Residential,1026 Holy Cross Rd,Street,MD,21154,492500,5,3.5,LD WILLIAM PT,2750,114998,2005,758,179,,Sold,,,https://www.redfin.com/MD/Street/1026-Holy-Cross-Rd-21154/home/14484117,BRIGHT MLS,MDHR238656,N,Y,39.6562762,-76.4286274
MLS Listing,,Single Family Residential,1509 Poole Rd,Street,MD,21154,314900,3,1.0,STREET/DUBLIN,1245,51836,1970,2,253,,Active,,,https://www.redfin.com/MD/Street/1509-Poole-Rd-21154/home/14553677,BRIGHT MLS,MDHR2005816,N,Y,39.644074,-76.2656755
MLS Listing,,Single Family Residential,1030 Woodshire Ln,Street,MD,21154,1099000,5,4.0,JARRETTSVILLE,6140,2479000,1911,25,179,,Active,,,https://www.redfin.com/MD/Street/1030-Woodshire-Ln-21154/home/143700651,BRIGHT MLS,MDHR2005478,N,Y,39.6724915,-76.4370115
MLS Listing,,Single Family Residential,3630 Conowingo Rd,Street,MD,21154,325000,3,1.0,Street,988,28563,1965,34,329,,Active,,,https://www.redfin.com/MD/Street/3630-Conowingo-Rd-21154/home/14534519,BRIGHT MLS,MDHR2004924,N,Y,39.6396623,-76.2635485
MLS Listing,,Single Family Residential,1534 Arena Rd,Street,MD,21154,477000,4,3.0,STREET MD,1742,128502,2019,37,274,,Active,,,https://www.redfin.com/MD/Street/1534-Arena-Rd-21154/home/14497751,BRIGHT MLS,MDHR2004860,N,Y,39.6401129,-76.2580726
MLS Listing,,Single Family Residential,957 Highland,Street,MD,21154,399000,3,2.0,STREET/DUBLIN,1920,31798,1920,39,208,,Active,,,https://www.redfin.com/MD/Street/957-Highland-Rd-21154/home/14542358,BRIGHT MLS,MDHR2000335,N,Y,39.672084,-76.3571939
MLS Listing,,Single Family Residential,3532 Grier Nursery Rd,Street,MD,21154,599900,4,3.0,CAMEO FARMS 42/73,2540,411206,1981,45,236,,Active,,,https://www.redfin.com/MD/Street/3532-Grier-Nursery-Rd-21154/home/14487405,BRIGHT MLS,MDHR2004496,N,Y,39.6463092,-76.3830591
PAST SALE,,Single Family Residential,1299 Macton Rd Unit A,Street,MD,21154,631000,,2.5,,2554,114563,1998,,247,,,,,https://www.redfin.com/MD/Street/1299-Macton-Rd-21154/unit-A/home/14491135,,,N,Y,39.6709,-76.3053492
PAST SALE,June-15-2020,Single Family Residential,3608 Hollands Branch Ct,Street,MD,21154,575000,4,2.5,PRIESTFORD OVERLOOK,3521,179903,2003,538,163,,Sold,,,https://www.redfin.com/MD/Street/3608-Hollands-Branch-Ct-21154/home/14493931,BRIGHT MLS,MDHR245678,N,Y,39.629323,-76.261441
PAST SALE,,Single Family Residential,1022 Woodshire Ln,Street,MD,21154,725000,,5.5,,6264,87120,2001,,116,,,,,https://www.redfin.com/MD/Street/1022-Woodshire-Ln-21154/home/14517886,,,N,Y,39.6746666,-76.4356625
PAST SALE,July-14-2021,Vacant Land,3648 Prospect Rd,Street,MD,21154,250000,,,Street,,435600,,144,,,Sold,,,https://www.redfin.com/MD/Street/3648-Prospect-Rd-21154/home/64353233,BRIGHT MLS,MDHR237350,N,Y,39.665416,-76.3282949
