SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-14-2021,Single Family Residential,2717 Parkview Dr,Riva,MD,21140,465000,4,2.0,GLEN ISLE,2153,10450,1970,205,216,,Sold,,,https://www.redfin.com/MD/Riva/2717-Parkview-Dr-21140/home/10003822,BRIGHT MLS,MDAA464878,N,Y,38.9581291,-76.5909477
PAST SALE,August-10-2020,Single Family Residential,3134 Riva Rd,Riva,MD,21140,490000,4,3.0,AA COUNTY,2100,7728,2020,482,233,,Sold,,,https://www.redfin.com/MD/Riva/3134-Riva-Rd-21140/home/175470255,BRIGHT MLS,MDAA431426,N,Y,38.9504684,-76.5866383
PAST SALE,May-20-2020,Single Family Residential,307 Cove Rd,Riva,MD,21140,527000,2,2.0,SYLVAN SHORES,1310,6600,1925,564,402,,Sold,,,https://www.redfin.com/MD/Riva/307-Cove-Rd-21140/home/10068479,BRIGHT MLS,MDAA425134,N,Y,38.956505,-76.583234
PAST SALE,September-15-2021,Single Family Residential,3059 Shad Pl,Riva,MD,21140,560000,5,3.0,RIVA FARMS,2508,18000,1971,81,223,,Sold,,,https://www.redfin.com/MD/Riva/3059-Shad-Pl-21140/home/10048077,BRIGHT MLS,MDAA2000462,N,Y,38.953355,-76.582757
PAST SALE,August-25-2020,Single Family Residential,3061 Shad Pl,Riva,MD,21140,417500,4,2.0,RIVA FARMS,1880,17500,1971,467,222,,Sold,,,https://www.redfin.com/MD/Riva/3061-Shad-Pl-21140/home/10048437,BRIGHT MLS,MDAA436858,N,Y,38.9527573,-76.5827373
PAST SALE,September-9-2019,Single Family Residential,3219 Breckenridge Way,Riva,MD,21140,640000,4,3.5,AISQUITH FARMS,4086,17050,1997,818,157,33,Sold,,,https://www.redfin.com/MD/Riva/3219-Breckenridge-Way-21140/home/9863014,BRIGHT MLS,MDAA394616,N,Y,38.9469552,-76.5897514
PAST SALE,September-25-2020,Single Family Residential,395 Westbury Dr,Riva,MD,21140,475000,3,2.5,ANNAPOLIS LANDING,2053,10144,1979,436,231,30,Sold,,,https://www.redfin.com/MD/Riva/395-Westbury-Dr-21140/home/9861857,BRIGHT MLS,MDAA439664,N,Y,38.9467979,-76.5849662
PAST SALE,November-17-2021,Single Family Residential,379 Yorkshire Ln,Riva,MD,21140,650000,4,2.5,BERKSHIRE,2134,15000,1979,18,305,27,Sold,,,https://www.redfin.com/MD/Riva/379-Yorkshire-Ln-21140/home/9865160,BRIGHT MLS,MDAA2000241,N,Y,38.9459425,-76.5807226
MLS Listing,,Single Family Residential,501 Forest Rd,Riva,MD,21140,595000,4,2.0,SYLVAN SHORES & FOREST A,1628,5830,1947,8,365,,Active,,,https://www.redfin.com/MD/Riva/501-Forest-Rd-21140/home/9895401,BRIGHT MLS,MDAA2015048,N,Y,38.9513994,-76.5797745
MLS Listing,,Single Family Residential,120 Ridge Rd,Riva,MD,21140,474900,4,1.5,SYLVAN SHORES,1064,4000,1927,31,446,,Active,,,https://www.redfin.com/MD/Riva/120-Ridge-Rd-21140/home/10068125,BRIGHT MLS,MDAA2013254,N,Y,38.955992,-76.581116
MLS Listing,,Single Family Residential,22 Shore Walk Rd,Riva,MD,21140,615000,3,2.0,SYLVAN SHORES,1674,2880,1951,36,367,,Active,,,https://www.redfin.com/MD/Riva/22-Shorewalk-Rd-21140/home/10068623,BRIGHT MLS,MDAA2000557,N,Y,38.953743,-76.579566
MLS Listing,,Single Family Residential,214 Park Rd,Riva,MD,21140,1888000,5,5.0,SYLVAN SHORES,5500,12170,2005,81,343,,Active,,,https://www.redfin.com/MD/Riva/214-Park-Rd-21140/home/10067878,BRIGHT MLS,MDAA2007892,N,Y,38.956699,-76.58104
MLS Listing,,Single Family Residential,3050 Tudor Hall Rd,Riva,MD,21140,465000,3,2.0,SOUTH RIVER HEIGHTS,1824,14000,1964,166,255,,Active,,,https://www.redfin.com/MD/Riva/3050-Tudor-Hall-Rd-21140/home/9895812,BRIGHT MLS,MDAA2000888,N,Y,38.951852,-76.578673
PAST SALE,July-9-2021,Single Family Residential,3213 Menia St,Riva,MD,21140,825000,4,3.5,STONE RIDGE,3949,15236,2009,149,209,67,Sold,,,https://www.redfin.com/MD/Riva/3213-Menia-St-21140/home/10481605,BRIGHT MLS,MDAA468290,N,Y,38.9476014,-76.5949421
PAST SALE,August-23-2019,Single Family Residential,3328 Breckenridge Way,Riva,MD,21140,1365000,5,4.0,Riva,6366,93654,2002,835,214,,Sold,,,https://www.redfin.com/MD/Riva/3328-Breckenridge-Way-21140/home/9858155,BRIGHT MLS,MDAA343988,N,Y,38.9391257,-76.582551
PAST SALE,August-14-2020,Single Family Residential,2732 Cedar Dr,Riva,MD,21140,812000,4,3.0,GLEN ISLE,1844,16744,1976,478,440,29,Sold,,,https://www.redfin.com/MD/Riva/2732-Cedar-Dr-21140/home/10004334,BRIGHT MLS,MDAA430194,N,Y,38.9597443,-76.5902028
PAST SALE,July-16-2020,Single Family Residential,2803 Grey Havens Way,Riva,MD,21140,824780,4,4.0,SHIRE OAKS,,44780,2020,507,,50,Sold,,,https://www.redfin.com/MD/Riva/2803-Grey-Havens-Way-21140/home/11749921,BRIGHT MLS,MDAA417514,N,Y,38.948793,-76.594579
PAST SALE,December-20-2019,Single Family Residential,3058 Perch Dr,Riva,MD,21140,439000,4,3.0,RIVA FARMS,1982,11250,1971,716,221,,Sold,,,https://www.redfin.com/MD/Riva/3058-Perch-Dr-21140/home/10048472,BRIGHT MLS,MDAA415770,N,Y,38.9529652,-76.5839279
PAST SALE,October-30-2020,Townhouse,3223 Escapade Cir,Riva,MD,21140,440000,3,3.0,AISQUITH FARMS,2340,1760,1996,401,188,64,Sold,,,https://www.redfin.com/MD/Riva/3223-Escapade-Cir-21140/home/9863878,BRIGHT MLS,MDAA444048,N,Y,38.943302,-76.588031
PAST SALE,April-5-2021,Single Family Residential,514 Hoot Owl Rd,Riva,MD,21140,584000,4,3.0,SYLVAN SHORES & FOREST A,2648,19414,1955,244,221,,Sold,,,https://www.redfin.com/MD/Riva/514-Hoot-Owl-Rd-21140/home/9895480,BRIGHT MLS,MDAA461470,N,Y,38.9490806,-76.5787813
PAST SALE,November-13-2020,Townhouse,1390 Escapade Ct,Riva,MD,21140,440000,3,3.0,AISQUITH FARMS,2323,2400,1996,387,189,64,Sold,,,https://www.redfin.com/MD/Riva/1390-Escapade-Ct-21140/home/9863678,BRIGHT MLS,MDAA448598,N,Y,38.941358,-76.588476
PAST SALE,August-19-2019,Townhouse,1392 Escapade Ct,Riva,MD,21140,392500,2,2.5,AISQUITH FARMS,1828,1760,1996,839,215,61,Sold,,,https://www.redfin.com/MD/Riva/1392-Escapade-Ct-21140/home/9863673,BRIGHT MLS,MDAA405800,N,Y,38.941304,-76.588538
PAST SALE,June-30-2020,Single Family Residential,2753 Pinecrest Dr,Riva,MD,21140,450000,3,2.5,GLEN ISLE,1844,6000,2018,523,244,29,Sold,,,https://www.redfin.com/MD/Riva/2753-Pinecrest-Dr-21140/home/10003681,BRIGHT MLS,MDAA431592,N,Y,38.9564674,-76.5909581
PAST SALE,April-23-2021,Single Family Residential,2728 Cedar Dr,Riva,MD,21140,561221,3,2.0,GLEN ISLE,1784,12880,1966,226,315,31,Sold,,,https://www.redfin.com/MD/Riva/2728-Cedar-Dr-21140/home/10004086,BRIGHT MLS,MDAA459356,N,Y,38.9602892,-76.5900674
PAST SALE,,Single Family Residential,2714 Parkview Dr,Riva,MD,21140,344000,,2.0,,3864,12508,1940,,89,,,,,https://www.redfin.com/MD/Riva/2714-Parkview-Dr-21140/home/10004100,,,N,Y,38.958359,-76.5914297
PAST SALE,May-24-2019,Single Family Residential,2708 Parkview Dr,Riva,MD,21140,312000,2,1.0,GLEN ISLE,812,15015,1955,926,384,29,Sold,,,https://www.redfin.com/MD/Riva/2708-Parkview-Dr-21140/home/10004316,BRIGHT MLS,MDAA395748,N,Y,38.9587893,-76.5912862
