SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-28-2020,Single Family Residential,45050 Lois Marie Ln,Tall Timbers,MD,20690,259000,4,2.0,ST GEORGE BEACH,1656,4840,1992,464,156,,Sold,,,https://www.redfin.com/MD/Tall-Timbers/45050-Lois-Marie-Ln-20690/home/15323760,BRIGHT MLS,MDSM170478,N,Y,38.1594199,-76.5173407
PAST SALE,March-18-2020,Single Family Residential,45131 Loblolly Ct,Tall Timbers,MD,20690,349500,4,2.5,TALL PINES SUBDIVISION,2550,20084,2003,627,137,1,Sold,,,https://www.redfin.com/MD/Tall-Timbers/45131-Loblolly-Ct-20690/home/15298647,BRIGHT MLS,MDSM167346,N,Y,38.153889,-76.5160147
PAST SALE,February-26-2021,Single Family Residential,17845 4th St,Tall Timbers,MD,20690,308000,3,2.5,ST GEORGE BEACH,1946,8000,2013,282,158,,Sold,,,https://www.redfin.com/MD/Tall-Timbers/17845-4th-St-20690/home/17411903,BRIGHT MLS,MDSM173402,N,Y,38.1571745,-76.5171417
MLS Listing,,Vacant Land,Saint Georges Park,Piney Point,MD,20674,75000,,,ST GEORGE BEACH,,16680,,2,,,Active,,,https://www.redfin.com/MD/Piney-Point/Saint-Georges-Park-Rd-20690/home/147369119,BRIGHT MLS,MDSM2003202,N,Y,38.15814276,-76.51880706
MLS Listing,,Single Family Residential,17910 Piney Point Rd,Tall Timbers,MD,20690,410000,3,2.5,SHEEHAN,1971,31798,1998,25,208,,Active,December-12-2021 01:00 PM,December-12-2021 03:00 PM,https://www.redfin.com/MD/Tall-Timbers/17910-Piney-Point-Rd-20690/home/15321995,BRIGHT MLS,MDSM2002800,N,Y,38.1597261,-76.5237448
MLS Listing,,Single Family Residential,17867 2nd St,Tall Timbers,MD,20690,250000,3,2.5,ST GEORGE BEACH,1482,4624,2008,25,169,,Active,,,https://www.redfin.com/MD/Tall-Timbers/17867-2nd-St-20690/home/17419058,BRIGHT MLS,MDSM2002816,N,Y,38.1580949,-76.5181943
PAST SALE,June-30-2020,Single Family Residential,44997 Shore Dr,Tall Timbers,MD,20690,310000,3,2.5,ST GEORGE BEACH,1526,44431,1995,523,203,,Sold,,,https://www.redfin.com/MD/Tall-Timbers/44997-Shore-Dr-20690/home/15323594,BRIGHT MLS,MDSM169344,N,Y,38.157994,-76.5198712
PAST SALE,November-4-2021,Single Family Residential,18183 River Rd,Tall Timbers,MD,20690,420000,3,2.0,TALL TIMBERS,2248,10000,1935,31,187,,Sold,,,https://www.redfin.com/MD/Tall-Timbers/18183-River-Rd-20690/home/15324599,BRIGHT MLS,MDSM2001812,N,Y,38.1670048,-76.5452253
PAST SALE,February-24-2021,Vacant Land,18016 Driftwood Dr,Tall Timbers,MD,20690,185000,,,LANDINGS AT PINEY POINT,,859439,,284,,,Sold,,,https://www.redfin.com/MD/Tall-Timbers/18016-Driftwood-Ln-20690/home/23436735,BRIGHT MLS,MDSM168456,N,Y,38.159385,-76.530553
PAST SALE,,Vacant Land,17853 Third St,Tall Timbers,MD,20690,11000,,,,,4000,,,,,,,,https://www.redfin.com/MD/Tall-Timbers/17853-Third-St-20690/home/23453624,,,N,Y,38.1576129,-76.5178269
