SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2910 S Dinwiddie St,Arlington,VA,22206,525000,3,2.0,FAIRLINGTON VILLAGE,1383,,1948,94,380,406,Active,,,https://www.redfin.com/VA/Arlington/2910-S-Dinwiddie-St-22206/home/11861473,BRIGHT MLS,VAAX2003240,N,Y,38.8386934,-77.1040904
PAST SALE,September-20-2021,Condo/Co-op,3062 S Buchanan St Unit B1,Arlington,VA,22206,273877,1,1.0,FAIRLINGTON VILLAGES,767,,1944,76,357,280,Sold,,,https://www.redfin.com/VA/Arlington/3062-S-Buchanan-St-22206/unit-B1/home/11268963,BRIGHT MLS,VAAR2002784,N,Y,38.8367629,-77.0976666
PAST SALE,September-1-2021,Condo/Co-op,2465 Army Navy Dr Unit 1-401,Arlington,VA,22206,342500,1,1.0,GROVE AT ARLINGTON,731,,2003,95,469,327,Sold,,,https://www.redfin.com/VA/Arlington/2465-Army-Navy-Dr-22206/unit-1-401/home/11282279,BRIGHT MLS,VAAR2001614,N,Y,38.8477583,-77.0774364
PAST SALE,January-25-2021,Condo/Co-op,2321 25th St S Unit 2-202,Arlington,VA,22206,530000,3,2.0,GROVE AT ARLINGTON,1258,,2003,314,421,605,Sold,,,https://www.redfin.com/VA/Arlington/2321-25th-St-S-22206/unit-2-202/home/11282211,BRIGHT MLS,VAAR173654,N,Y,38.8476589,-77.0770144
PAST SALE,May-15-2020,Townhouse,3389 S Stafford St,Arlington,VA,22206,596000,2,2.0,FAIRLINGTON MEADOWS,1800,,1940,569,331,363,Sold,,,https://www.redfin.com/VA/Arlington/3389-S-Stafford-St-22206/home/11270589,BRIGHT MLS,VAAR159836,N,Y,38.8332461,-77.086179
PAST SALE,December-27-2019,Condo/Co-op,2055 26th St S Unit 5-110,Arlington,VA,22206,310000,1,1.0,GROVE AT ARLINGTON,731,,2003,709,424,312,Sold,,,https://www.redfin.com/VA/Arlington/2055-26th-St-S-22206/unit-5-110/home/11282341,BRIGHT MLS,VAAR156528,N,Y,38.84827,-77.0762358
PAST SALE,,Condo/Co-op,2909 S Woodley St #2,Arlington,VA,22206,384000,2,1.0,,930,,1983,,413,,,,,https://www.redfin.com/VA/Arlington/2909-S-Woodley-St-22206/unit-2/home/11267500,,,N,Y,38.841434,-77.0960832
PAST SALE,February-26-2021,Condo/Co-op,2653 S Walter Reed Dr Unit C,Arlington,VA,22206,379000,2,1.0,THE ARLINGTON,875,,1950,282,433,348,Sold,,,https://www.redfin.com/VA/Arlington/2653-S-Walter-Reed-Dr-22206/unit-C/home/11268019,BRIGHT MLS,VAAR175724,N,Y,38.8414512,-77.1045368
PAST SALE,,Condo/Co-op,2301 25th St S Unit 4-104,Arlington,VA,22206,408000,2,1.0,,900,,2003,,453,,,,,https://www.redfin.com/VA/Arlington/2301-25th-St-S-22206/unit-4-104/home/11282296,,,N,Y,38.8479099,-77.0760245
PAST SALE,June-10-2020,Single Family Residential,2116 S Columbus St,Arlington,VA,22206,800000,4,3.0,CLAREMONT,2652,6461,1948,543,302,,Sold,,,https://www.redfin.com/VA/Arlington/2116-S-Columbus-St-22206/home/11265838,BRIGHT MLS,VAAR160224,N,Y,38.8464868,-77.1073678
