SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,230 Mindees Ln Lot 678,Pittsboro,NC,27312,488000,3,2.5,Vineyards,2400,5662,2022,1,203,8,Active,,,https://www.redfin.com/NC/Pittsboro/230-Mindees-Ln-27312/unit-678/home/177264537,TMLS,2421941,N,Y,35.7277526790526,-79.1594385700226
MLS Listing,,Single Family Residential,51 Thrift St,Pittsboro,NC,27312,275000,3,1.5,Indigo Ridge,1948,27878,1973,2,141,,Active,,,https://www.redfin.com/NC/Pittsboro/51-Thrift-St-27312/home/41368298,TMLS,2421831,N,Y,35.7193079,-79.1888658
MLS Listing,,Single Family Residential,894 Castle Rock Farm Rd,Pittsboro,NC,27312,625000,3,2.0,Chatham,2393,449974,1996,3,261,,Pre On-Market,,,https://www.redfin.com/NC/Pittsboro/894-Castle-Rock-Farm-Rd-27312/home/162848575,TMLS,2421618,N,Y,35.8059987,-79.2659314
MLS Listing,,Single Family Residential,54 Kings Landscape Dr,Pittsboro,NC,27312,999999,1,1.0,Chatham,1005,2025104,1930,3,995,,Pre On-Market,,,https://www.redfin.com/NC/Pittsboro/54-Kings-Landscape-Dr-27312/home/64859400,TMLS,2421606,N,Y,35.8080174,-79.2687859
MLS Listing,,Single Family Residential,51 Winding Branch Ln,Pittsboro,NC,27312,609000,3,2.5,Norwood Crossing,2705,109771,1999,3,225,,Active,,,https://www.redfin.com/NC/Pittsboro/51-Winding-Branch-Ln-27312/home/41385167,TMLS,2421487,N,Y,35.8455846,-79.1328698
MLS Listing,,Townhouse,1308 Langdon Pl,Pittsboro,NC,27312,497000,3,2.5,Ferrington Village,2704,4791,1998,4,184,344,Pre On-Market,,,https://www.redfin.com/NC/Pittsboro/1308-Langdon-Pl-27312/home/41364363,TMLS,2421357,N,Y,35.7940128,-79.074443
MLS Listing,,Vacant Land,264 Mountaintop Cir,Pittsboro,NC,27312,365000,,,Chatham,,60548,,5,,,Active,,,https://www.redfin.com/NC/Pittsboro/264-Mountaintop-CIR-27312/home/177385897,TMLS,2421222,N,Y,35.780009,-79.102319
MLS Listing,,Vacant Land,84 Kenwood Ln,Pittsboro,NC,27312,325000,,,Chatham,,50965,,5,,,Active,,,https://www.redfin.com/NC/Baldwin/84-Kenwood-Ln-27312/home/173372126,TMLS,2421188,N,Y,35.840982,-79.139827
MLS Listing,,Single Family Residential,120 X Campbell Rd,Pittsboro,NC,27312,500000,4,2.5,Chatham,2379,332449,1967,5,210,,Active,,,https://www.redfin.com/NC/Pittsboro/120-X-Campbell-Rd-27312/home/162869287,TMLS,2421171,N,Y,35.7396852,-79.1874497
MLS Listing,,Single Family Residential,128 Jamestown Rd,Pittsboro,NC,27312,495000,3,2.5,The Settlement,2837,64033,2000,6,174,,Active,,,https://www.redfin.com/NC/Pittsboro/128-Jamestown-Rd-27312/home/41386972,TMLS,2420992,N,Y,35.837103,-79.14513
