SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,910 Powhatan St Unit 105S,Alexandria,VA,22314,479900,1,1.5,NORTH WASHINGTON ST COND,750,,2010,3,640,444,Active,December-5-2021 01:00 PM,December-5-2021 03:00 PM,https://www.redfin.com/VA/Alexandria/910-Powhatan-St-22314/unit-105S/home/39967125,BRIGHT MLS,VAAX2005864,N,Y,38.8148146,-77.0457872
MLS Listing,,Condo/Co-op,520 John Carlyle St #408,Alexandria,VA,22314,600000,2,2.0,CONDOS AT CARLYLE SQUARE,1095,,2007,11,548,663,Active,,,https://www.redfin.com/VA/Alexandria/520-John-Carlyle-St-22314/unit-408/home/17061765,BRIGHT MLS,VAAX2005634,N,Y,38.8019355,-77.0615516
MLS Listing,,Condo/Co-op,114 Roberts Ln #201,Alexandria,VA,22314,358000,2,2.0,FORT ELLSWORTH,1118,,1974,16,320,562,Active,,,https://www.redfin.com/VA/Alexandria/114-Roberts-Ln-22314/unit-201/home/11850709,BRIGHT MLS,VAAX2005692,N,Y,38.807719,-77.071994
MLS Listing,,Single Family Residential,2953 Viewpoint Rd,Alexandria,VA,22314,980000,5,3.0,CLOVER,2281,7200,1955,25,430,,Active,,,https://www.redfin.com/VA/Alexandria/2953-Viewpoint-Rd-22314/home/11850955,BRIGHT MLS,VAAX2005392,N,Y,38.809629,-77.0799876
MLS Listing,,Townhouse,676 S Columbus St,Alexandria,VA,22314,1049000,3,3.5,WASHINGTON SQUARE,2031,,1978,31,516,610,Active,,,https://www.redfin.com/VA/Alexandria/676-S-Columbus-St-22314/home/11863282,BRIGHT MLS,VAAX2005170,N,Y,38.7987495,-77.049368
MLS Listing,,Condo/Co-op,112 Roberts Ln #300,Alexandria,VA,22314,409900,3,2.0,FORT ELLSWORTH,1282,,1974,37,320,655,Active,,,https://www.redfin.com/VA/Alexandria/112-Roberts-Ln-22314/unit-300/home/11850702,BRIGHT MLS,VAAX2005080,N,Y,38.8075727,-77.0720759
MLS Listing,,Condo/Co-op,906 S Washington St #213,Alexandria,VA,22314,194900,0,1.0,BEARINGS SOUTH,469,,1941,173,416,345,Active,,,https://www.redfin.com/VA/Alexandria/906-S-Washington-St-22314/unit-213/home/11878824,BRIGHT MLS,VAAX260728,N,Y,38.7955846,-77.0484858
PAST SALE,October-29-2021,Condo/Co-op,2151 Jamieson Ave #2109,Alexandria,VA,22314,869000,3,2.5,CARLYLE TOWERS,1604,,1999,37,542,960,Sold,,,https://www.redfin.com/VA/Alexandria/2151-Jamieson-Ave-22314/unit-2109/home/11874462,BRIGHT MLS,VAAX2002960,N,Y,38.8034519,-77.0662951
PAST SALE,October-1-2021,Townhouse,1115 Powhatan St,Alexandria,VA,22314,759000,2,3.0,VIRGINIA VILLAGE,1570,2027,1941,65,483,,Sold,,,https://www.redfin.com/VA/Alexandria/1115-Powhatan-St-22314/home/11842057,BRIGHT MLS,VAAX260446,N,Y,38.8172629,-77.046378
PAST SALE,July-28-2021,Townhouse,131 N Payne St,Alexandria,VA,22314,1074900,2,2.5,ALEXANDRIA,1437,1060,1870,130,748,,Sold,,,https://www.redfin.com/VA/Alexandria/131-N-Payne-St-22314/home/11840143,BRIGHT MLS,VAAX259506,N,Y,38.806853,-77.0530785
PAST SALE,September-17-2019,Townhouse,21 W Taylor Run Pkwy,Alexandria,VA,22314,561000,4,2.5,Alexandria,1944,3858,1955,810,289,,Sold,,,https://www.redfin.com/VA/Alexandria/21-W-Taylor-Run-Pkwy-22314/unit-A/home/11870978,BRIGHT MLS,VAAX238504,N,Y,38.807395,-77.075453
PAST SALE,February-28-2020,Condo/Co-op,505 E Braddock Rd #106,Alexandria,VA,22314,395000,1,1.0,COLECROFT,751,,1987,646,526,304,Sold,,,https://www.redfin.com/VA/Alexandria/505-E-Braddock-Rd-22314/unit-106/home/11870662,BRIGHT MLS,VAAX241842,N,Y,38.8122022,-77.0543127
PAST SALE,April-5-2021,Condo/Co-op,518 N West St,Alexandria,VA,22314,469000,2,1.0,COLECROFT,865,,1986,244,542,409,Sold,,,https://www.redfin.com/VA/Alexandria/518-N-West-St-22314/home/11869130,BRIGHT MLS,VAAX256532,N,Y,38.8111516,-77.0537533
PAST SALE,January-8-2021,Townhouse,1212 Franklin St,Alexandria,VA,22314,730000,2,2.0,JEFFERSON HOMES,1255,2340,1948,331,582,,Sold,,,https://www.redfin.com/VA/Alexandria/1212-Franklin-St-22314/home/11839544,BRIGHT MLS,VAAX253746,N,Y,38.7987258,-77.054445
PAST SALE,April-5-2021,Townhouse,1730 Potomac Greens Dr,Alexandria,VA,22314,1026000,4,3.5,POTOMAC GREENS,2646,885,2009,244,388,165,Sold,,,https://www.redfin.com/VA/Alexandria/1730-Potomac-Greens-Dr-22314/home/11878079,BRIGHT MLS,VAAX256430,N,Y,38.8274909,-77.0457858
PAST SALE,August-30-2019,Condo/Co-op,309 Holland Ln #112,Alexandria,VA,22314,495000,2,2.0,THE ROYALTON,982,,2006,828,504,520,Sold,,,https://www.redfin.com/VA/Alexandria/309-Holland-Ln-22314/unit-112/home/11880042,BRIGHT MLS,VAAX238230,N,Y,38.8038764,-77.0601988
PAST SALE,August-10-2021,Condo/Co-op,1111 Oronoco St #429,Alexandria,VA,22314,394000,1,1.0,THE MONARCH,762,,2008,117,517,455,Sold,,,https://www.redfin.com/VA/Alexandria/1111-Oronoco-St-22314/unit-429/home/17061672,BRIGHT MLS,VAAX260724,N,Y,38.8104092,-77.0509346
PAST SALE,May-25-2021,Townhouse,621 S Alfred St,Alexandria,VA,22314,757500,2,2.5,OLD TOWN ALEXANDRIA,1260,2106,1984,194,601,67,Sold,,,https://www.redfin.com/VA/Alexandria/621-S-Alfred-St-22314/home/11867481,BRIGHT MLS,VAAX258652,N,Y,38.7990115,-77.0508133
PAST SALE,April-20-2020,Townhouse,619 S Fayette St,Alexandria,VA,22314,717027,3,2.5,JEFFERSON HOMES,1728,2077,1950,594,415,,Sold,,,https://www.redfin.com/VA/Alexandria/619-S-Fayette-St-22314/home/11839951,BRIGHT MLS,VAAX244342,N,Y,38.7994378,-77.054074
PAST SALE,November-29-2021,Condo/Co-op,520 John Carlyle St #331,Alexandria,VA,22314,420000,1,1.0,CONDOS AT CARLYLE SQUARE,730,,2007,6,575,489,Sold,,,https://www.redfin.com/VA/Alexandria/520-John-Carlyle-St-22314/unit-331/home/17061785,BRIGHT MLS,VAAX2004988,N,Y,38.8019355,-77.0615516
PAST SALE,September-14-2020,Townhouse,101 Cameron Mews,Alexandria,VA,22314,1305000,4,3.5,CAMERON MEWS,2450,1772,1965,447,533,83,Sold,,,https://www.redfin.com/VA/Alexandria/101-Cameron-Mews-22314/home/11842869,BRIGHT MLS,VAAX248966,N,Y,38.805794,-77.040055
PAST SALE,January-15-2021,Condo/Co-op,1100 Quaker Hill Dr #108,Alexandria,VA,22314,327000,2,2.0,QUAKER HILL,1034,,1991,324,316,543,Sold,,,https://www.redfin.com/VA/Alexandria/1100-Quaker-Hill-Dr-22314/unit-108/home/11870771,BRIGHT MLS,VAAX251754,N,Y,38.809899,-77.0843715
PAST SALE,July-17-2020,Condo/Co-op,714 S Fayette St #21,Alexandria,VA,22314,340000,2,1.0,FAYETTE COURT,788,,1950,506,431,427,Sold,,,https://www.redfin.com/VA/Alexandria/714-S-Fayette-St-22314/unit-21/home/11873209,BRIGHT MLS,VAAX247324,N,Y,38.798211,-77.053575
PAST SALE,June-1-2021,Townhouse,234 N Payne St,Alexandria,VA,22314,735000,3,1.5,PARKER GRAY,1148,1440,1955,187,640,,Sold,,,https://www.redfin.com/VA/Alexandria/234-N-Payne-St-22314/home/11839614,BRIGHT MLS,VAAX2000058,N,Y,38.807943,-77.053378
PAST SALE,June-30-2021,Condo/Co-op,320 S West St #301,Alexandria,VA,22314,750000,2,2.0,DUKE CONDOMINIUM,1453,,2010,158,516,588,Sold,,,https://www.redfin.com/VA/Alexandria/320-S-West-St-22314/unit-301/home/28680798,BRIGHT MLS,VAAX258430,N,Y,38.8030796,-77.0547374
PAST SALE,June-22-2021,Single Family Residential,914 N Alfred St,Alexandria,VA,22314,1190000,3,3.5,OLD TOWN COMMONS,2105,873,2014,166,565,100,Sold,,,https://www.redfin.com/VA/Alexandria/914-N-Alfred-St-22314/home/49794736,BRIGHT MLS,VAAX257522,N,Y,38.8148587,-77.0473618
PAST SALE,October-9-2020,Condo/Co-op,1407 E Abingdon Dr #4,Alexandria,VA,22314,335000,1,1.0,HARBOR TERRACE,700,,1944,422,479,389,Sold,,,https://www.redfin.com/VA/Alexandria/1407-E-Abingdon-Dr-22314/unit-4/home/11867194,BRIGHT MLS,VAAX250572,N,Y,38.8195117,-77.0430661
PAST SALE,February-2-2021,Condo/Co-op,1610 W Abingdon Dr #301,Alexandria,VA,22314,325000,2,1.5,POTOWMACK CROSSING,819,,1942,306,397,425,Sold,,,https://www.redfin.com/VA/Alexandria/1610-W-Abingdon-Dr-22314/unit-301/home/11871123,BRIGHT MLS,VAAX254304,N,Y,38.8221865,-77.0449094
PAST SALE,December-22-2020,Condo/Co-op,525 N Fayette St #514,Alexandria,VA,22314,605000,2,2.0,THE MONARCH,1094,,2008,348,553,632,Sold,,,https://www.redfin.com/VA/Alexandria/525-N-Fayette-St-22314/unit-514/home/17061438,BRIGHT MLS,VAAX251644,N,Y,38.8112526,-77.0511344
PAST SALE,March-4-2020,Condo/Co-op,607 Bashford Ln #1,Alexandria,VA,22314,435000,3,2.0,HARBOR TERRACE,1250,,1944,641,348,681,Sold,,,https://www.redfin.com/VA/Alexandria/607-Bashford-Ln-22314/unit-1/home/11865403,BRIGHT MLS,VAAX241870,N,Y,38.8186155,-77.0433612
PAST SALE,,Condo/Co-op,520 John Carlyle St #109,Alexandria,VA,22314,580000,1,2.0,,931,,2007,,623,,,,,https://www.redfin.com/VA/Alexandria/520-John-Carlyle-St-22314/unit-109/home/17061670,,,N,Y,38.8019355,-77.0615516
PAST SALE,June-10-2019,Condo/Co-op,1100 Quaker Hill Dr #8,Alexandria,VA,22314,315000,2,2.0,QUAKER HILL,1157,,1991,909,272,541,Sold,,,https://www.redfin.com/VA/Alexandria/1100-Quaker-Hill-Dr-22314/unit-8/home/11870761,BRIGHT MLS,VAAX234908,N,Y,38.809899,-77.0843715
