ProjectGroupID,AltProjectID,ProjectID,ElementName,Division,MetroAreaID,Latitude,Longitude,Address,city,State,state_fips,ZipCode,County,MetroAreaTitle,CountyName,county_fips,cbsa_code,cbsa_name,msa_name,ProductID,ProductDescription,Active,MinSquareFootage,MaxSquareFootage,MinBaseSalesPrice,MaxBaseSalesPrice,ProductTypeID,NumberBedrooms,NumberFullBaths,NumberHalfBaths,NumberGarageSpaces
MLL,MLL3,The Mill SFD,The Mill SFD (MLL3),Columbia,1010,34.117881,-80.806290,545 Jacobs Millpond Road,Elgin,SC,45,29045,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001454,Winston,Y,1899,2839,255900.00,263900.00,4,2,2,0,2
FLS,FLS3,The Falls SFD,The Falls SFD (FLS3),Columbia,1010,34.181955,-80.903033,137 Falls Ridge Lane,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001425,Everest,Y,1546,1833,228900.00,230900.00,4,2,2,0,2
TER,TER3,The Terrace at Longview SFD,The Terrace at Longview SFD (TER3),Columbia,1010,33.913455,-81.290165,204 Long Crest Road,Lexington,SC,45,29073,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001469,Timberlin,Y,2420,5742,323900.00,336900.00,4,3,3,0,3
VCV,VCV3,The Villas at Covington SFD,The Villas at Covington SFD (VCV3),Charlotte,1011,35.023497,-80.863341,4529 Queens Garden Terrace,Indian Land,SC,45,29707,47,Charlotte,Lancaster,57,16740,Charlotte-Concord-Gastonia NC-SC,NULL,001452,Woodlawn,Y,1857,3050,371000.00,385784.00,4,2,2,0,2
AHE,AHE3,Abney Hills Estates SFD,Abney Hills Estates SFD (AHE3),Columbia,1010,34.187516,-81.014363,536 Maple Valley Loop,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001463,Wakefield,Y,3375,5105,341900.00,344900.00,4,4,3,0,2
MSP,MSP3,The Meadows at Summer Pines SFD,The Meadows at Summer Pines SFD (MSP3),Columbia,1010,34.156478,-80.967833,1013 Heart Pine Drive,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001431,Brantley,Y,2829,2876,255900.00,265900.00,4,3,2,1,2
BRH,BRH2,Brookhill 2o2,Brookhill 2o2 (BRH2),Charlottesville,1003,38.1014224,-78.4591042,366 Archer Avenue,Charlottesville,VA,51,22911,18,Charlottesville,Albemarle,3,16820,Charlottesville VA,Charlottesville VA MSA,001543,Tessa,Y,1573,1573,316490.00,318490.00,1,2,2,1,1
23,23,Edgewater,Edgewater (23),Atlanta,1007,34.168071,-84.431162,506 Edgewater Drive,Holly Springs,GA,13,30115,28,Atlanta,Cherokee,57,12060,Atlanta-Sandy Springs-Alpharetta GA,Atlanta GA MSA,Y62,Royden,Y,2505,4658,374400.00,406400.00,4,3,2,1,2
IRV,IRV3,Indian River SFD,Indian River SFD (IRV3),Columbia,1010,33.905958,-81.165443,948 Indian River Drive,Columbia,SC,45,29170,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001470,Tanglewood,Y,2539,3984,358900.00,366900.00,4,2,2,1,2
TLO,TL,Tall Oaks Flats,Tall Oaks Flats (TL),Northern Virginia,1000,38.959184,-77.332334,1610 Bandit Loop,Reston,VA,51,20190,2,Northern Virginia,Fairfax,59,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,001238,Chapel,Y,1471,0,574990.00,574990.00,1,3,2,NULL,NULL
21,21,Canopy,Canopy (21),Atlanta,1007,34.010998,-84.360947,310 Maplewood Drive,Roswell,GA,13,30075,27,Atlanta,Fulton,121,12060,Atlanta-Sandy Springs-Alpharetta GA,Atlanta GA MSA,001626,Bulloch DRUN,Y,2384,2731,596900.00,604900.00,2,3,3,1,2
SDL,SDL3,Saddlebrook SFD,Saddlebrook SFD (SDL3),Columbia,1010,34.205036,-80.737904,3 Leatherwood Drive,Lugoff,SC,45,29078,53,Columbia,Kershaw,55,17900,Columbia SC,NULL,001491,Rembert,Y,3175,3190,270900.00,274900.00,4,4,2,1,2
RHS,RHS3,The Reserve at Holly Springs SFD,The Reserve at Holly Springs SFD (RHS3),Northern Virginia,1000,38.874942,-77.514116,Holly Spring Lane and Bull Run Post Office Road,Centreville,VA,51,20120,3,Northern Virginia,Loudoun,107,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,A35,Kasey BSMT,Y,3342,6648,929990.00,933990.00,4,4,3,1,2
SOD,SOD3,Summer Orchard SFD,Summer Orchard SFD (SOD3),Columbia,1010,33.917912,-81.328175,Summer Orchard Drive,Lexington,SC,45,29072,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001431,Brantley,Y,2829,2876,264900.00,272900.00,NULL,NULL,NULL,NULL,NULL
SCK,SCK3,Sage Creek SFD,Sage Creek SFD (SCK3),Aiken/Augusta,1013,33.593076,-81.824541,1182 Sapphire Drive,Graniteville,SC,45,29829,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001421,Summerton,Y,2386,2386,241900.00,247900.00,4,3,2,1,2
RAO,RAO1,ReTreat At One TH,ReTreat At One TH (RAO1),Richmond,1006,37.6479,-77.4565,9009 Brook Road,Glen Allen,VA,51,23060,20,Richmond,Henrico,87,40060,Richmond VA,Richmond-Petersburg VA MSA,266,Balfour,Y,2174,2205,325990.00,330490.00,2,3,2,1,1
SCK,SCK3,Sage Creek SFD,Sage Creek SFD (SCK3),Aiken/Augusta,1013,33.593076,-81.824541,1182 Sapphire Drive,Graniteville,SC,45,29829,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001429,Pinewood SLAB,Y,2448,2662,256900.00,279900.00,4,4,2,1,2
BFS,BFS3,Burnside Farms SFD,Burnside Farms SFD (BFS3),Columbia,1010,33.952038,-80.931322,117 Hay Meadow Lane,Columbia,SC,45,29209,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001430,Brunson,Y,2686,2731,257900.00,267900.00,4,4,2,1,2
FLS,FLS3,The Falls SFD,The Falls SFD (FLS3),Columbia,1010,34.181955,-80.903033,137 Falls Ridge Lane,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001491,Rembert,Y,3175,3190,275900.00,286900.00,4,4,2,1,2
AHE,AHE3,Abney Hills Estates SFD,Abney Hills Estates SFD (AHE3),Columbia,1010,34.187516,-81.014363,536 Maple Valley Loop,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001403,Browning,Y,3533,3862,357900.00,358900.00,4,5,3,1,2
PH,PH,Glenmore,Glenmore (PH),Charlottesville,1003,37.9996,-78.3869,3496 Carroll Creek Road,Keswick,VA,51,22947,18,Charlottesville,Albemarle,3,16820,Charlottesville VA,Charlottesville VA MSA,A35,Kasey BSMT,Y,3342,6648,754900.00,774900.00,4,4,3,1,2
SK,SK,Spring Creek,Spring Creek (SK),Charlottesville,1003,37.9995,-78.211,970 Bear Island Parkway,Zion Crossroads,VA,51,22942,19,Charlottesville,Louisa,109,NULL,NULL,NULL,985,Sawyer,Y,2461,4733,509900.00,517900.00,4,3,2,1,2
TT,TT,Two Rivers,Two Rivers (TT),Maryland,1001,39.0246,-76.7273,2894 Broad Wing Drive,Odenton,MD,24,21113,25,Maryland,Anne Arundel,3,12580,Baltimore-Columbia-Towson MD,Washington-Baltimore DC-MD-VA-WV CMSA,961,"Elizabeth BSMT ",Y,2616,5019,610490.00,620490.00,4,4,2,1,2
MCX,MCX3,Mayfield Crossing SFD,Mayfield Crossing SFD (MCX3),Greenville/Spartanburg,1012,34.871957,-82.166797,436 Marietta Lane,Duncan,SC,45,29334,39,Greenville/Spartanburg,Spartanburg,83,43900,Spartanburg SC,Greenville-Spartanburg-Anderson SC MSA,001428,Fairview,Y,2170,2170,269900.00,275900.00,4,4,2,1,2
