ZipCode,Latitude,Longitude,State,StateFullName,City,CityAliasName,CountyMixedCase
28166,35.680374,-80.871896,NC,North Carolina,TROUTMAN,TROUTMAN,Iredell
28167,35.48757,-81.979763,NC,North Carolina,UNION MILLS,UNION MILLS,Rutherford
28168,35.549362,-81.407226,NC,North Carolina,VALE,VALE,Lincoln
28169,35.361535,-81.428475,NC,North Carolina,WACO,WACO,Cleveland
28170,35.054174,-80.083576,NC,North Carolina,WADESBORO,WADESBORO,Anson
28173,34.925912,-80.73473,NC,North Carolina,WAXHAW,WAXHAW,Union
28174,34.963934,-80.434734,NC,North Carolina,WINGATE,WINGATE,Union
28201,35.2287,-80.8458,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28202,35.227646,-80.84375,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28203,35.208484,-80.858125,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28204,35.213364,-80.8262,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28205,35.218036,-80.786844,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28206,35.251784,-80.820887,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28207,35.195578,-80.826754,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28208,35.235858,-80.908465,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28209,35.17662,-80.852575,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28210,35.131046,-80.851183,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28211,35.171222,-80.792094,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28212,35.18145,-80.747842,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28213,35.28457,-80.733757,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28214,35.279208,-80.955158,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28215,35.251976,-80.697133,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28216,35.301252,-80.901662,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28217,35.171004,-80.915103,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28218,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28219,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28220,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28221,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28222,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28223,35.303614,-80.733927,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28224,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28226,35.106787,-80.829246,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28227,35.185389,-80.649343,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28228,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28229,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28230,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28231,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28232,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28233,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28234,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28235,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28236,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28237,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28241,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28242,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28243,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28244,35.2257,-80.8433,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28246,35.2226,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28247,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28253,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28254,35.2196,-80.8405,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28255,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28256,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28258,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28260,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28262,35.326156,-80.746054,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28263,35.21,-80.69,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28265,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28266,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28269,35.340751,-80.7936,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28270,35.113086,-80.761833,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28271,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28272,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28273,35.123281,-80.933955,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28274,35.189283,-80.834012,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28275,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28277,35.050811,-80.822143,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28278,35.133437,-81.006914,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28280,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28281,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28282,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28284,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28285,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28287,35.2229,-80.8452,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28288,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28289,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28290,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28296,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28297,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28299,35.2267,-80.8434,NC,North Carolina,CHARLOTTE,CHARLOTTE,Mecklenburg
28301,35.066255,-78.88934,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28302,35.0527,-78.8789,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28303,35.08744,-78.96894,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28304,35.017952,-78.993155,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28305,35.056344,-78.908696,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28306,34.931311,-78.920537,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28307,35.146635,-78.990966,NC,North Carolina,FORT BRAGG,FORT BRAGG,Cumberland
28308,35.172756,-79.016122,NC,North Carolina,POPE ARMY AIRFIELD,POPE ARMY AIRFIELD,Cumberland
28309,35.0527,-78.8789,NC,North Carolina,FAYETTEVILLE,FAYETTEVILLE,Cumberland
28310,35.12672,-79.165988,NC,North Carolina,FORT BRAGG,FORT BRAGG,Cumberland
