iter	Passed	Remaining
422	2284	3115
423	2288	3109
424	2293	3103
425	2298	3097
426	2303	3091
427	2308	3085
428	2313	3079
429	2318	3073
430	2323	3067
431	2328	3061
432	2333	3055
433	2338	3049
434	2343	3043
435	2348	3037
436	2353	3031
437	2358	3025
438	2363	3019
439	2368	3013
440	2373	3007
441	2377	3001
442	2382	2995
443	2387	2990
444	2392	2984
445	2397	2978
446	2403	2973
447	2408	2967
448	2412	2960
449	2417	2954
450	2422	2948
451	2427	2943
452	2432	2937
453	2437	2931
454	2442	2925
455	2447	2919
456	2451	2913
457	2457	2907
458	2462	2902
459	2468	2897
460	2473	2892
461	2479	2887
462	2484	2881
463	2490	2876
464	2495	2871
465	2501	2866
466	2506	2860
467	2511	2855
468	2516	2849
469	2521	2843
470	2527	2838
471	2531	2832
472	2536	2826
473	2541	2820
474	2546	2814
475	2551	2808
476	2556	2802
477	2561	2797
478	2566	2791
479	2571	2785
480	2575	2779
481	2580	2773
482	2585	2767
483	2590	2761
484	2595	2756
485	2600	2749
486	2605	2744
487	2610	2738
488	2614	2732
489	2619	2726
490	2624	2721
491	2629	2715
492	2634	2709
493	2639	2703
494	2644	2698
495	2649	2692
496	2654	2686
497	2660	2681
498	2665	2676
499	2670	2670
500	2676	2665
501	2681	2660
502	2686	2654
503	2691	2648
504	2696	2642
505	2701	2637
506	2706	2631
507	2711	2625
508	2716	2620
509	2720	2614
510	2725	2608
511	2730	2602
512	2735	2596
513	2740	2590
514	2745	2585
515	2750	2579
516	2755	2574
517	2760	2568
518	2765	2562
519	2770	2557
520	2775	2551
521	2780	2546
522	2785	2540
523	2790	2534
524	2795	2529
525	2801	2524
526	2806	2519
527	2812	2513
528	2816	2508
529	2821	2502
530	2826	2496
531	2832	2491
532	2837	2485
533	2842	2480
534	2847	2474
535	2852	2469
536	2857	2464
537	2862	2458
538	2867	2452
539	2872	2447
540	2877	2441
541	2882	2436
542	2887	2430
543	2892	2424
544	2896	2418
545	2901	2412
546	2907	2407
547	2912	2401
548	2917	2396
549	2922	2390
550	2927	2385
551	2931	2379
552	2936	2373
553	2941	2367
554	2946	2362
555	2951	2357
556	2957	2352
557	2962	2346
558	2967	2341
559	2972	2335
560	2976	2329
561	2982	2324
562	2987	2318
563	2992	2313
564	2997	2307
565	3002	2302
566	3007	2296
567	3012	2290
568	3017	2285
569	3022	2280
570	3027	2274
571	3038	2273
572	3043	2268
573	3049	2262
574	3056	2258
575	3061	2253
576	3066	2248
577	3071	2242
578	3075	2236
579	3080	2230
580	3085	2225
581	3091	2220
582	3096	2214
583	3101	2209
584	3106	2203
585	3112	2198
586	3117	2193
587	3122	2187
588	3127	2182
589	3132	2177
590	3137	2171
591	3143	2166
592	3148	2161
593	3153	2155
594	3158	2149
595	3163	2144
596	3168	2139
597	3174	2133
598	3179	2128
599	3184	2122
600	3188	2117
601	3193	2111
602	3198	2106
603	3203	2100
604	3208	2095
605	3213	2089
606	3218	2083
607	3223	2078
608	3228	2072
609	3233	2067
610	3238	2061
611	3243	2056
612	3249	2051
613	3253	2045
614	3259	2040
615	3264	2034
616	3269	2029
617	3273	2023
618	3279	2018
619	3283	2012
620	3288	2006
621	3293	2001
622	3298	1996
623	3303	1990
624	3308	1985
625	3312	1979
626	3318	1973
627	3322	1968
628	3327	1962
629	3332	1957
630	3337	1951
631	3342	1946
632	3347	1940
633	3351	1935
634	3356	1929
635	3361	1923
636	3366	1918
637	3371	1912
638	3376	1907
639	3381	1901
640	3385	1896
641	3391	1891
642	3396	1885
643	3401	1880
644	3406	1874
645	3411	1869
646	3415	1863
647	3420	1858
648	3425	1852
649	3430	1847
650	3435	1841
651	3440	1836
652	3445	1830
653	3450	1825
654	3455	1819
655	3460	1814
656	3465	1809
657	3470	1803
658	3475	1798
659	3479	1792
660	3484	1787
661	3490	1781
662	3494	1776
663	3500	1771
664	3504	1765
665	3509	1760
666	3514	1754
667	3520	1749
668	3525	1744
669	3529	1738
670	3534	1733
671	3539	1727
672	3544	1722
673	3549	1716
674	3554	1711
675	3559	1705
676	3563	1700
677	3568	1694
678	3573	1689
679	3577	1683
680	3582	1678
681	3586	1672
682	3591	1666
683	3596	1661
684	3601	1656
685	3606	1650
686	3610	1645
687	3616	1639
688	3621	1634
689	3626	1629
690	3631	1623
691	3635	1618
692	3640	1612
693	3646	1607
694	3651	1602
695	3655	1596
696	3660	1591
697	3665	1585
698	3670	1580
699	3675	1575
700	3680	1570
701	3685	1564
702	3690	1559
703	3695	1553
704	3700	1548
705	3705	1543
706	3710	1537
707	3715	1532
708	3721	1527
709	3726	1522
710	3731	1516
711	3736	1511
